address,balance
3DwVjwVeJa9Z5Pu15WHNfKcDxY5tFUGfdx,10000.00022642
1LbUMzM7tmyVJCpzBJTi5ZVmRb2Vn8mwVH,10000.00005733
1AMDVupuTEeTSnKi6LoSFBqikQybufZsv1,10000.00005526
1DTmjcZo3MMH9MscHizTLjrUxnvwvSLdf7,10000.0000547
1JpAvQxbxurhU8wfxszCtzFey4D6N8goJv,10000.00004923
1EU2pMence1UfifCco2UHJCdoqorAtpT7 ,9999.99964767
1AFNceZVB2MshqU5AEoxg14R7LrUx6Un6C,9982.41760604
1BxgwUXszgVMrs9ZSfdcGLqne2vMYaW8jf,9895.38809121
3265tcUcp8dBhBBwp4rKN3iyUptuHkzMq7,9758.56207272
1Kd6zLb9iAjcrgq8HzWnoWNVLYYWjp3swA,9707.12992069
bc1qajh7jfy44sswutqlwj2tz9wcejpxrgf...,9499.99910895
1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,9424.7824419
3KTQYXvjteNoMECi62JYuqXobYQpcHjoVs,9291.13866665
1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,9260.0163158
3QB2qhnj5Xxwhh3GKcfwQDSkL91BCCn5cp,9151.4120547
bc1qh4cpaydaqlzez8ekkasm3ygj4us7gwx...,9111.90570581
17CzhFvGwH6TT46JtzhnhMpTw4mHYpEGCR,9107.36447391
bc1q78wmm8xnhveklsparpeq6drlg9wlq4l...,9098.99910895
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,9049.83292701
1J1F3U7gHrCjsEsRimDJ3oYBiV24wA8FuV,9000
