address,balance
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8175898.60794088
0x00000000219ab540356cbb839cbe05303d7705fa,8018114.000069
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2296896.43580271
0x73bceb1cd57c711feac4224d062b0f6ff338501e,1874773.48283429
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1485087.15740605
0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1390000.016622
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1378734.06632152
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,1120020.76046368
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,929498.95358134
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,699249.61525364
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000.000065
0xf66852bc122fd40bfecc63cd48217e88bda12109,559504.03480167
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,535617.89566472
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,465197.59593256
0xe92d1a43df510f82c66382592a047d288f85226f,450000.05008572
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,419660.41954017
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,418219.8153573
0xa929022c9107643515f5c777ce9a910f0d1e490c,411787.016
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,374868.43678314
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,325000.91359528
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,325000.48001707
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,324879.73289428
0x3bfc20f0b9afcace800d73d2191166ff16540258,306276.63536139
0x8103683202aa8da10536036edef04cdd865c225e,275000.02741999
0x07ee55aa48bb72dcc6e9d78256648910de513eca,262741.11148462
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248.45391694
0xa7efae728d2936e78bda97dc267687568dd593f3,251605.83233883
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000.01704597
0x66f820a414680b5bcda5eeca5dea238543f42054,236499.7917798
0x2fe0260b44eac48cfe4f3bb1ba380bbe2979b468,232466.49434544
0xbddf00563c9abd25b576017f08c46982012f12be,220679.645569
0x9845e1909dca337944a0272f1f9f7249833d2d19,220001
0x189b9cbd4aff470af2c0102f365fc1823d857965,219881.62463193
0x59448fe20378357f206880c58068f095ae63d5a5,215368.75591044
0xf977814e90da44bfa03b6295a0616a897441acec,213340.86408898
0xdc1487e092caba080c6badafaa75a58ce7a2ec34,204902.99423351
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,200000.663247
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,200000.10703597
0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,199580.32171513
0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,197570.95525471
0x7712bdab7c9559ec64a1f7097f36bc805f51ff1a,196919.68973512
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,192168.78183723
0x19184ab45c40c2920b0e0e31413b9434abd243ed,191967.17417946
