rank_,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
56,14000.00039864,14999.99980892,14999.99901928,14999.99982872,15000.00002891,14999.99902705,13143.06414962,13143.06414962,12000.29043068,12000.00011111,12307.31746807,12565.08135151,12000.00014042,12024.99989286,12632.37162517,12000.29045645,14000.00046922,13023.23234696,12000.29045645,12873.06276387,13023.23244282,12380.87804209,13387.99174747,12000.00028243,13383.37830908,12000.00013061,12000.29060693,14034.16668363,14770.12560373,14999.99866299,13966.24357588,14000.00069158,13064.93190185,14199.29081156
57,13900.00022366,14999.99899948,14999.90001821,14999.99901928,15000.0000198,14999.90002598,13021.24856715,12800.00000263,12000.00011111,12000.00001547,12067.45702909,12000.29043845,12000.00011888,12000.29043845,12565.08136351,12000.00016477,13855.46274199,12565.08136351,12000.00016477,12565.08140196,12830.87794328,12000.29055215,13023.23246478,12000.00027008,13124.48302166,12000.00011292,12000.00011823,14000.00068064,14311.98205153,14804.980057,13003.02065814,13339.99665,13061.509413,14000.0007098
58,13778.66811568,14999.89999841,14500.00015012,14999.90001821,14999.99982872,14999.01084894,12900.6974647,12565.08133374,12000.00001547,12000.00001,12000.29043068,12000.00011888,12000.00001777,12000.00014042,12000.29045645,12000.00015242,13023.23234696,12200.9995,12000.00015242,12000.2904838,12511.07258899,12000.00026047,12975.66298056,12000.00024854,12937.99446852,12000.00010729,12000.00011276,12164.98744606,14000.00068611,14770.12560373,12982.9063663,13003.02065814,13003.02065814,13629.98397
59,13646.78279502,14500.00013032,14321.96213638,14999.01082864,14999.99901928,14595.2661646,12800.00000263,12008.60700744,12000.00001,12000.00000777,12000.00011111,12000.00001777,12000.00001777,12000.00011888,12000.00015242,12000.00013088,12565.08136351,12000.29045645,12000.00013088,12000.00019212,12000.29054121,12000.00024812,12198.1746847,12000.00010873,12000.29058505,12000.00010729,11901.53569014,12000.2906124,13434.29080609,14748.05840229,12973.146642,12972.90634476,13000.0,13509.37524728
60,13000.05183264,14371.96211658,14000.00041844,14500.00015012,14999.90001821,14500.00015789,12565.08133374,12000.29043068,12000.00000777,12000.00000777,12000.00001547,12000.00001777,12000.00001554,12000.00001777,12000.00013088,12000.00002977,12119.54657727,12000.00016477,12000.00012747,12000.00017977,12000.00024953,12000.00022658,12130.3942819,12000.00009873,12000.00028102,12000.00010182,11826.94403832,11435.9021073,12514.9406667,14199.29080609,12962.84677504,12937.37568924,12910.5802984,13309.99125
61,12799.99991405,14000.00039864,13900.00024346,14000.00041844,14999.01084117,14000.00043398,12499.77107121,12000.00011111,12000.00000777,12000.00000555,12000.00001,12000.00001554,12000.00001554,12000.00001777,12000.00002977,12000.00002754,12000.29045645,12000.00015242,12000.00002977,12000.00015823,12000.00023718,12000.00022317,12001.00012731,12000.00009104,12000.00011967,12000.00010182,11726.75594195,11125.92611393,11955.45395564,14000.00069158,11364.96961381,12000.00203128,12679.98397,13003.02066414
62,12000.29039764,13900.00022366,13634.88061482,13933.62155882,14500.00015012,14000.00009163,12015.48599726,12000.00001547,12000.00000555,12000.0,12000.00001,12000.00001554,12000.00001547,12000.00001554,12000.00002754,12000.00002754,12000.00016477,12000.00013088,12000.00002754,12000.00015482,12000.00021564,12000.00008677,12000.29056317,12000.00009087,12000.00010198,11979.65399013,11610.85204307,11104.98047511,11952.3503141,12992.98890725,10887.9999904,10812.08520842,12594.90617901,12886.26768191
63,11927.2396897,13646.78279502,13308.40993051,13900.00024346,14000.00041844,13900.00025123,12000.29043068,12000.00000777,12000.0,12000.0,12000.00000777,12000.00001547,12000.00001332,12000.00001554,12000.00002754,12000.00002747,12000.00015242,12000.00012747,12000.00002754,12000.00006489,12000.00021223,12000.00007677,12000.00027149,12000.00008941,12000.00009635,11901.5356792,11104.98046417,11102.00076917,11523.3011271,11949.82659782,10770.53467382,10770.53467382,12000.00203128,12094.40613395
64,11900.00003664,13507.13774427,13000.05185244,13634.88061482,13900.00024346,13699.77106574,12000.00012777,12000.00000777,12000.0,12000.0,12000.00000777,12000.00001332,12000.00001323,12000.00001547,12000.00002747,12000.00002532,12000.00013088,12000.00002977,12000.00002532,12000.00005489,12000.00007583,12000.00007455,12000.00025914,12000.00008541,12000.00009635,11826.94402191,11102.00075823,10770.53466288,11102.00077464,11794.85031512,10499.99911443,10499.99911443,11290.99997743,12006.38327154
65,11837.0063662,13308.40991071,12799.99993385,13606.96313638,13634.88061482,13334.87963766,12000.00011111,12000.0,12000.0,12000.0,12000.00000555,12000.00001323,12000.00000777,12000.00001332,12000.00002532,12000.00002523,12000.00012747,12000.00002754,12000.00002523,12000.00005489,12000.00006583,12000.00007446,12000.0002376,12000.00008541,12000.00009088,11610.85202645,11001.0765131,10499.99910349,10770.53467382,11230.90789949,10487.62945687,10296.51455577,10770.53467928,12000.00203128
66,11800.00086165,13000.05183264,12190.3866836,13000.05185244,13500.00008386,13333.33336726,12000.00001547,12000.0,12000.0,12000.0,12000.00000546,12000.00000777,12000.00000777,12000.00001323,12000.00002523,12000.00002377,12000.00002977,12000.00002754,12000.00002377,12000.00005267,12000.00006583,12000.000073,12000.00023419,12000.00008541,12000.00009088,11104.98045323,10770.53465741,10336.03415261,10740.70270109,11102.00078011,10296.51355577,10087.98209424,10505.00118088,11246.00001641
67,11697.68618417,12799.99991405,12041.2999617,12799.99993385,13333.33335949,13143.06414415,12000.00000777,12000.0,12000.0,12000.0,12000.0,12000.00000777,12000.00000777,12000.00000777,12000.00002377,12000.00001977,12000.00002754,12000.00002532,12000.00001977,12000.00005258,12000.00006361,12000.0000713,12000.00009779,12000.00007994,11979.65397919,11102.00074729,10499.99909802,10009.26272509,10576.13767523,10770.53467382,10222.26945142,10062.62856629,10499.99911443,10887.99998992
68,11351.60001455,12100.00048663,12000.29041744,12710.72294538,13143.06413638,13021.24774906,12000.00000777,12000.0,12000.0,12000.0,12000.0,12000.00000777,12000.00000777,12000.00000777,12000.00001977,12000.00001977,12000.00002754,12000.00002523,12000.00001977,12000.00005112,12000.00006352,12000.000069,12000.00008779,12000.00007994,11903.81310166,11001.07650216,10307.01265272,10001.74101771,10499.99910896,10499.99911443,10219.48513258,10058.77403837,10296.51455577,10770.53467928
69,11336.84172288,12000.29039764,12000.0,12590.3866836,13000.05185244,12900.6974647,12000.0,12000.0,12000.0,12000.0,12000.0,12000.00000777,12000.00000777,12000.00000777,12000.00001977,12000.00001977,12000.00002532,12000.00002377,12000.00001977,12000.00004712,12000.00006206,12000.000069,12000.00008557,12000.00007764,11901.53566826,10889.04009352,10009.26271415,10000.07740276,10188.58917942,10087.98209424,10087.98209424,10009.2627415,10058.77403837,10704.9998615
70,11102.00023039,11927.2396897,11927.2397095,12000.29041744,12900.69797878,12799.99999716,12000.0,12000.0,12000.0,11999.96934845,12000.0,12000.00000777,12000.00000777,12000.00000777,12000.00001977,12000.00001977,12000.00002523,12000.00001977,12000.00001977,12000.00004712,12000.00005806,12000.000069,12000.00008224,11979.65396825,11826.94401644,10770.53464647,10001.74101224,10000.03441444,10087.98209971,10009.2627415,10046.44730688,10001.7407377,10009.2627415,10650.54013735
71,10959.80677426,11862.68618417,11800.00088145,12000.00012,12799.99997385,12565.08133374,12000.0,12000.0,11999.96934845,11979.65384784,12000.0,12000.00000777,12000.0,12000.00000777,12000.00001977,12000.00001977,12000.00002377,12000.00001977,12000.00001977,12000.00004712,12000.00005806,12000.000069,12000.00007993,11901.53565732,11601.13636741,10524.47689415,10000.07740276,10000.01625412,10009.26273603,10001.74103865,10009.2627415,10000.07740276,10001.7407377,10499.99911443
72,10910.16861665,11800.00086165,11722.98625397,11927.2397095,12565.08132597,12020.48599726,12000.0,11927.23971727,11979.65384784,11927.23971727,12000.0,12000.00000777,11999.96935622,12000.00000777,12000.00001977,12000.000012,12000.00001977,12000.00001977,12000.000012,12000.00004712,12000.00005806,12000.00006353,12000.00007847,11826.9440055,11104.98044229,10499.99908708,10000.03441444,10000.0156058,10001.74103865,10000.07740276,10001.74104959,10000.03451444,10000.07740276,10296.51455577
73,10885.2066031,11351.60001455,11499.45829129,11800.00088145,12249.17694763,12000.29042521,12000.0,11899.77107121,11927.23971727,11809.47558135,12000.0,12000.0,11979.65385561,12000.0,12000.00001977,11979.65386161,12000.00001977,12000.00001977,11979.65386161,12000.00004712,12000.00005806,12000.00006123,12000.00007447,11809.47570776,11102.00073635,10064.13839904,10000.01625412,10000.01226138,10000.07740276,10000.03441444,10000.07740276,10000.02511674,10000.03451444,10058.77403837
74,10770.52547012,11350.47380546,11351.60003435,11800.00008386,12020.48598949,12000.00012777,12000.0,11809.47558135,11809.47558135,11722.63862532,12000.0,11999.96935622,11927.23973508,11979.65385561,12000.000012,11927.23975307,12000.00001977,12000.00001977,11901.53555068,12000.00003935,12000.00005806,11979.65395731,12000.00007447,11253.44401713,11001.07649122,10009.26270321,10000.01559486,10000.01132515,10000.03441444,10000.02511674,10000.03441444,10000.01625412,10000.02511674,10009.2627415
75,10469.34502547,11336.84172288,11349.62155882,11469.17694763,12000.29041744,12000.00001547,11927.23971727,11800.00134356,11722.63862532,11660.31577682,11999.96934845,11979.65385561,11901.53553868,11927.23973508,11979.65386161,11901.53555068,12000.00001977,12000.000012,11826.94389339,11979.65388896,12000.00005029,11902.03043429,12000.00007447,11104.98043135,10770.53463553,10001.7410013,10000.01226138,10000.01028295,10000.02511674,10000.01625412,10000.02511674,10000.01251028,10000.01625412,10001.7407377
76,10222.16130593,11102.00023039,11336.84174268,11336.84174268,12000.00012,12000.00000777,11809.47558135,11722.63862532,11699.77009121,11548.93785389,11979.65384784,11927.23973508,11826.94388139,11901.53553868,11927.23974708,11826.94389339,12000.00001977,11979.65386161,11809.47560112,11901.53557803,11979.65394637,11901.53564638,12000.00007447,11102.00050714,10499.99907614,10000.03441444,10000.01132515,10000.01028219,10000.01625412,10000.01226138,10000.01625412,10000.01132515,10000.01251028,10000.07740276
77,10088.0000509,10959.80677426,11146.94910128,11102.00025019,12000.0,12000.00000777,11800.00134356,11660.31576682,11660.31576682,11102.0002712,11964.074,11901.53553868,11809.47558912,11826.94388139,11901.53555068,11809.47560112,12000.000012,11901.53555068,11722.63879886,11826.94392074,11901.53563544,11826.94398909,12000.00007447,11001.00008775,10009.26269774,10000.01625412,10000.01028295,10000.0040066,10000.01226138,10000.01132515,10000.01251028,10000.01028295,10000.01132515,10000.03453076
78,10009.26246835,10910.16861665,11102.00025019,11000.01182864,12000.0,12000.00000777,11722.63862532,11548.93692936,11548.93694046,11091.05666661,11927.23973508,11809.47558912,11743.99993465,11809.47558912,11826.94389339,11722.63879886,11979.65386161,11826.94389339,11372.8333106,11809.47562847,11826.94397815,11809.47569682,12000.0000667,10932.17762214,10001.84574929,10000.01458392,10000.01028219,10000.00206252,10000.01132515,10000.01028295,10000.01132515,10000.01028219,10000.01028295,10000.02511674
79,10001.74084017,10885.2066031,10959.80679406,10959.80679406,12000.0,12000.0,11660.31576682,11336.84175592,11336.84176703,11000.03967059,11901.53553091,11722.63878686,11722.63878686,11722.63878686,11809.47560112,11681.87785852,11901.53555068,11809.47560112,11329.61278134,11722.63882621,11809.47568588,11722.63889456,11979.65396278,10770.53461781,10001.74099036,10000.01226138,10000.00630541,10000.00080534,10000.01028295,10000.01028219,10000.01028295,10000.00239116,10000.01028219,10000.01625412
80,10000.01412988,10820.6223304,10910.16863645,10910.16863645,11927.2397095,12000.0,11618.03983568,11102.0002712,11102.0002712,11000.00011111,11809.47558135,11660.3158024,11660.3160364,11660.3160364,11722.63879886,11660.3160484,11826.94389339,11722.63879886,11242.61345643,11690.45527231,11722.63888362,11711.99768004,11901.53565185,10675.8458876,10000.03441444,10000.0113073,10000.00399566,10000.00021548,10000.01028219,10000.00208696,10000.01028219,10000.00081628,10000.00239116,10000.01251028
81,10000.01079296,10770.52547012,10885.2066229,10885.2066229,11800.00088145,12000.0,11336.84175592,11000.01183641,11000.01183641,10999.77009121,11722.63862532,11627.35703686,11548.93786166,11548.93786166,11660.3160484,11548.93787366,11809.47560112,11548.93787366,11104.98037118,11390.8325435,11363.90000547,11367.07345043,11826.94399456,10499.99907067,10000.01625412,10000.01061476,10000.00203506,10000.0001321,10000.00208696,10000.00081628,10000.00239116,10000.00072341,10000.00081628,10000.01132515
82,10000.01055618,10222.16131603,10770.52550124,10770.52550124,11722.63851755,12000.0,11102.0002712,11000.00011111,11000.00011111,10959.80681507,11660.31579463,11548.93786166,11327.35703686,11104.98035918,11548.93787366,11104.98037118,11722.63879886,11225.15799315,11102.00044697,11104.98039853,11322.87498154,11104.98042041,11809.47570229,10009.2626868,10000.01457298,10000.01028295,10000.0007944,10000.00004432,10000.00081081,10000.00022642,10000.00081628,10000.00022642,10000.00022642,10000.01028295
83,10000.0103168,10088.0000509,10250.47352526,10541.28385224,11336.84174268,11927.23971727,11000.01183641,10959.80681507,10959.80681507,10910.16864969,11548.93785389,11102.00027897,11104.98035918,11102.00042897,11104.98037118,11102.00044697,11548.93787366,11104.98037118,10932.1775454,11102.00047432,11299.90000547,11102.00049073,11722.63890003,10001.7409683,10000.01226138,10000.01028219,10000.00020454,10000.00003829,10000.00022642,10000.00005733,10000.00072341,9999.99964767,9999.99964767,10000.01028219
84,10000.01011975,10009.26246835,10088.0000707,10250.47352526,11102.00025019,11800.00133809,11000.00011111,10932.02175169,10910.16864969,10885.20673989,11102.0002712,11038.03007078,11102.00027897,11092.35703686,11102.00044697,11067.42774199,11104.98037118,11102.00044697,10770.52849022,10932.17758385,11188.98155587,10932.17760573,11180.00001094,10000.03441444,10000.0113073,10000.00629447,10000.00012663,10000.00003829,10000.00005733,10000.00005526,10000.00022642,9975.31942691,9975.31942691,10000.00240116
85,10000.0101098,10001.74084017,10009.26248815,10009.26248815,11000.01446186,11722.63862532,10963.26127011,10910.16864969,10885.20673989,10814.41861989,11000.03968241,11000.03968241,11000.03968241,11000.03968241,11052.35704886,11052.35704886,11102.00044697,10770.52849022,10500.03950961,10770.528697,11104.98040947,10929.6326922,11104.98042588,10000.01625412,10000.01061476,10000.00398472,10000.00003885,10000.00003829,10000.00005526,10000.0000547,9999.99998175,9905.97138233,9905.97138233,10000.00022642
86,10000.0101098,10000.01412988,10001.74085997,10001.74085997,11000.01182864,11660.31576127,10959.80681507,10885.20673989,10814.41861989,10770.52660448,11000.00012293,11000.0001307,11000.0001307,11000.0001307,11000.03969441,11000.03969441,11000.0001427,10744.09727325,10250.0011,10500.03953696,11102.00048526,10770.5340544,11102.00050167,10000.01456204,10000.01028295,10000.00202412,10000.00003282,10000.00003829,10000.00004923,10000.00004923,9999.99964767,9904.96470901,9904.96470901,10000.00000547
87,10000.00980493,10000.01079296,10000.01414968,10000.01414968,10959.80679406,11618.03983568,10910.16864969,10814.41861434,10770.52551448,10743.01045121,10885.20673989,10953.63325015,10885.20681806,10770.52683571,11000.0001427,11000.0001427,10770.52849022,10500.03950961,10009.26252116,10250.00112735,10932.17759479,10500.03955884,11001.00007681,10000.01193716,10000.01028219,10000.00078346,10000.00003282,9999.99963673,10000.00004923,9999.99964767,9999.9916,9904.34110371,9904.34110371,9999.99964767
88,10000.00929235,10000.01055618,10000.01081822,10000.01081822,10948.81616703,11336.84175045,10885.20673989,10770.52551448,10250.47354303,10250.47354303,10864.24583675,10885.20673989,10770.52661225,10009.26250916,10999.99847469,10999.9986932,10745.4333978,10086.67195845,10005.99557746,10009.26264851,10770.52903087,10330.0,10932.1776112,10000.0113073,10000.00628353,10000.0001936,10000.00002735,9982.4175951,9999.99964767,9982.41760604,9975.31942691,9903.45878492,9903.45878492,9975.31942691
89,10000.00609622,10000.0103168,10000.01058144,10000.01058144,10910.16863645,11102.00026573,10770.52551448,10628.91642557,10009.26250139,10009.26250139,10770.52660448,10881.99993465,10009.26250916,10005.995566,10946.89347952,10922.70232566,10660.00010611,10009.26252116,10001.74089156,10005.99560481,10633.94404821,10246.62191466,10780.87805311,10000.01035476,10000.00397378,10000.00011569,10000.00002735,9758.56206178,9982.41760604,9895.38809121,9905.97138233,9901.35874316,9901.35874316,9924.31609605
90,10000.00365963,10000.01011975,10000.0103366,10000.0103366,10885.2066229,11000.01446963,10250.47353303,10250.47353303,10001.74086774,10001.74086774,10743.02150557,10770.52661225,10005.995566,10001.74087956,10770.52685371,10770.52706939,10500.03950961,10005.99557746,10000.03438193,10001.74093001,10500.0395479,10009.26267039,10770.53405987,10000.01028295,10000.00201318,10000.00002791,9999.99962579,9707.12990975,9895.38809121,9758.56207272,9904.96470901,9900.87096156,9900.87096156,9905.97138233
91,10000.00005109,10000.0101098,10000.01013955,10000.01013955,10770.52550124,11000.01183641,10009.26250139,10009.26250139,10000.01484181,10000.98887904,10250.47354303,10050.47336735,10001.74087956,10000.98889086,10627.06526527,10009.26252116,10009.26252116,10001.74089156,10000.01623224,10000.03440381,10135.225213,10005.99562669,10500.03956431,10000.01028219,10000.00077252,10000.00002188,9982.41758963,9630.29431802,9758.56206725,9707.12992069,9904.34110371,9900.87096156,9900.87096156,9904.96470901
92,10000.00003213,10000.0101098,10000.0101296,10000.0101296,10541.29274648,11000.00000777,10001.74086774,10001.74086774,10000.01148946,10000.01484958,10066.5328247,10009.26250916,10000.98889086,10000.01501835,10455.23131669,10005.99557746,10005.99557746,10000.03417126,10000.0118022,10000.01625412,10102.90001094,10001.74095189,10096.62157013,10000.00627259,10000.00018266,10000.00002188,9758.56205084,9519.42002892,9707.12991522,9499.99911442,9903.45878492,9900.87096156,9900.87096156,9904.34110371
93,10000.00002049,10000.00980493,10000.0101296,10000.0101296,10250.47352526,10959.8068096,10000.01472243,10000.01484181,10000.01108006,10000.01148946,10009.26250139,10005.995566,10000.01501835,10000.01149723,10009.26252116,10001.74089156,10001.74089156,10000.01623224,10000.01128542,10000.01182408,10051.50878492,10000.03440381,10009.26267586,10000.00396284,10000.00010475,10000.00001641,9707.12989107,9499.99909801,9701.98086804,9424.7824419,9901.35874316,9900.64196062,9900.64196062,9903.45878492
94,10000.00002049,10000.00929235,10000.00982473,10000.00982473,10009.26248815,10910.16864422,10000.01148946,10000.01148946,10000.01102119,10000.01108006,10005.995566,10001.74087956,10000.01149723,10000.01116908,10005.995572,10000.98889686,10000.03417126,10000.0118022,10000.01041338,10000.0113073,10009.26265945,10000.01625412,10001.74095736,10000.00200224,10000.00001094,10000.00001641,9624.986164,9424.78243096,9499.99910895,9260.0163158,9900.87096156,9900.45178622,9900.45178622,9901.35874316
95,10000.00001989,10000.00609622,10000.00931215,10000.00931215,10001.74085997,10885.20663067,10000.01108006,10000.01108006,10000.01038951,10000.01102119,10001.74087956,10000.98889086,10000.01116908,10000.01108006,10001.74089156,10000.01503635,10000.01503635,10000.01128542,10000.01040187,10000.01044073,10005.99561575,10000.0125511,10000.03441444,10000.00076158,10000.00001094,9999.99961485,9499.99909254,9260.01630486,9424.7824419,9151.41206017,9900.87096156,9900.09834101,9900.09834101,9900.87096156
96,10000.00001989,10000.00365963,10000.00611602,10000.00611602,10000.01424968,10788.0469731,10000.01101109,10000.01101109,10000.01025279,10000.01038951,10000.98889086,10000.01485735,10000.01108006,10000.01040732,10000.98889686,10000.01151523,10000.0118022,10000.01041338,10000.01027856,10000.01042922,10001.74094095,10000.01193716,10000.01625412,10000.00017172,10000.00001094,9982.41757869,9455.97317435,9156.53025262,9260.0163158,9111.90570581,9900.87096156,9895.36977012,9895.36977012,9900.87096156
97,10000.00001989,10000.00005109,10000.00367943,10000.00367943,10000.01091822,10770.52550901,10000.01038951,10000.01038951,10000.01023507,10000.01025279,10000.01484958,10000.01149723,10000.01040732,10000.01026056,10000.01503635,10000.01118708,10000.01128542,10000.01040187,10000.01026107,10000.01030044,10000.03440381,10000.0113073,10000.01455657,10000.00009381,10000.00001094,9757.95833682,9424.78242002,9111.90570034,9151.4120547,9107.36447391,9900.64196062,9866.70228038,9866.70228038,9900.87096156
98,10000.00001443,10000.00003213,10000.00007786,10000.00007089,10000.01068144,10541.29275425,10000.01025279,10000.01025279,10000.01023507,10000.01023507,10000.01148946,10000.01108006,10000.01026056,10000.01024307,10000.01151523,10000.01110386,10000.01041338,10000.01027856,10000.01025484,10000.01028295,10000.01625412,10000.01045714,10000.01193716,9999.99959297,10000.00001094,9707.12988013,9260.01629392,9107.36446297,9111.90570581,9098.99910895,9900.45178622,9866.70228038,9866.70228038,9900.64196062
99,10000.00001443,10000.00002049,10000.00007089,10000.00004029,10000.0104366,10250.47353303,10000.01023507,10000.01023507,10000.00931762,10000.01023507,10000.01108006,10000.01105335,10000.01024307,10000.01024284,10000.01118708,10000.01041338,10000.01027856,10000.01026107,10000.00621242,10000.01027672,10000.01182408,10000.01035476,10000.0113073,9800.00003282,9999.99960391,9639.88967688,9195.38846933,9098.99909801,9107.36447391,9049.83292701,9900.09834101,9843.07045318,9843.07045318,9900.45178622
100,9999.99951989,10000.00002049,10000.00005193,10000.00003081,10000.01038951,10009.26249592,10000.01023507,10000.01023507,10000.00612149,10000.00931762,10000.01104558,10000.01040732,10000.01024284,10000.00932539,10000.01109806,10000.01027856,10000.01026107,10000.01025484,10000.00390814,10000.00623977,10000.0113073,10000.01028295,10000.01109434,9724.86733411,9982.41756775,9499.99908707,9173.26020872,9049.83291607,9098.99910348,9000.00000547,9895.36977012,9829.98397,9758.56207272,9900.09834101
