rank_,d2014_01_31,d2014_02_28,d2014_03_31,d2014_04_30,d2014_05_31,d2014_06_30,d2014_07_31,d2014_08_31,d2014_09_30,d2014_10_31,d2014_11_30,d2014_12_31,d2015_01_31,d2015_02_28,d2015_03_31,d2015_04_30,d2015_05_31,d2015_06_30,d2015_07_31,d2015_08_31,d2015_09_30,d2015_10_31,d2015_11_30,d2015_12_31,d2016_01_31,d2016_02_29,d2016_03_31,d2016_04_30,d2016_05_31,d2016_06_30,d2016_07_31,d2016_08_31,d2016_09_30,d2016_10_31,d2016_11_30,d2016_12_31,d2017_01_31,d2017_02_28,d2017_03_31,d2017_04_30,d2017_05_31,d2017_06_30,d2017_07_31,d2017_08_31,d2017_09_30,d2017_10_31,d2017_11_30,d2017_12_31,d2018_01_31,d2018_02_28,d2018_03_31,d2018_04_30,d2018_05_31,d2018_06_30,d2018_07_31,d2018_08_31,d2018_09_30,d2018_10_31,d2018_11_30,d2018_12_31
35,31000.04286904,28150.04963902,22191.29594986,22191.29594986,21744.008094,21744.008094,21744.008194,22191.29614986,23000.00970402,23000.00970402,21744.008304,26167.05114903,25750.0,25750.0,21588.00030003,21481.90904728,21588.00130003,21588.00130003,22388.00130003,25456.69010163,25624.91083966,25624.91083966,25624.91097466,25489.09229961,25624.91117466,25668.18550647,25850.0013,25669.52503903,28151.05199405,27996.14306596,30358.91018508,28151.05323405,31000.0597162,31000.0597162,29898.2861371,32489.53072783,31000.0597292,28151.05324705,28177.32208407,28151.05324705,28177.32208407,28177.32209407,28151.05325705,26343.1672408,28151.05335705,28151.05336251,29772.39410348,30108.47532523,29772.39422048,30241.29110118,30560.18078706,30108.47535988,31562.15465321,32489.53167416,31084.83116167,31269.58249156,31269.58251044,31084.83124092,31269.58254597,24000.47022773
36,30500.000569,26167.05063903,21744.008094,21744.008094,20887.72851453,20887.72851453,20887.72861453,21744.008294,21744.008304,21765.01148667,21588.0,25708.77511835,24139.18140405,25000.00010003,21000.01020003,21000.01020003,21000.01020003,21000.01020003,22123.03111933,25418.39813461,25572.13055955,25489.09216461,25489.09229961,25425.61543848,25489.09249961,25624.91117466,25668.18550647,25624.91117466,27673.01030033,27499.99996159,29557.44476739,27499.99996159,29999.99966537,28177.32208407,28177.32208407,31000.0597292,28177.32208407,26297.38850595,28151.05324705,27400.00185304,28151.05324705,28151.05325705,26303.4178,26215.37103925,27832.71334328,27832.71334874,29054.52922613,29772.39422048,29682.85138584,30108.47532523,30108.47534988,29801.44518785,31269.58183891,31269.58234396,31000.06803341,31084.83117851,31084.83120539,31010.01103543,31084.83124092,23227.61515776
37,30000.04196903,24139.18103902,20887.72851453,20887.72851453,20844.17849403,20844.17072403,20844.17082403,20887.72871453,21588.0,21744.008304,21508.04599304,24500.00083,24000.00020003,24139.18140405,20844.17123407,20844.17223407,20844.17223407,20867.31201863,21961.52518961,25328.99818173,25489.09216461,25418.39813461,25419.89513461,25408.85571903,25425.61563848,25489.09249961,25624.91117466,25489.09249961,27499.9999484,25850.0013,28177.32208407,25624.91117466,28177.32208407,28151.05323405,28151.05323405,28177.32208407,28151.05324705,25624.91117466,25624.91117466,25624.91117466,25624.91117466,26215.37103925,26215.37103925,25899.43659635,27683.08796175,27683.08796721,28151.05336251,28151.05347951,28558.18076241,29772.39422048,29772.39424513,29772.39424513,31264.72137904,31084.83113091,30108.47594201,31000.0680655,31000.06809238,31000.06812791,31010.01108633,22211.16525338
38,30000.00276902,23000.00943902,20844.17849403,20844.17849403,20004.597935,20004.599035,20004.599135,20844.17092403,20844.17093403,21588.0,20844.17093403,24139.18130402,23000.00980405,24000.00020003,20796.1769882,20796.1769882,20796.1769882,20846.10341045,21956.23520087,24845.98867727,25418.39813461,25408.85558403,25408.85571903,25377.72247129,25408.85591903,25425.61663848,25489.09249961,25428.93653308,25850.0013,25624.91117466,28151.05323405,25489.09249961,28151.05323405,26097.991335,26097.991335,28151.05324705,25999.9996609,25499.99915849,25489.09249961,25489.09249961,25489.09249961,25624.91117466,25489.09249961,25489.09249961,26343.1672408,26343.16724626,27832.71334874,27832.71346574,28151.05356384,29682.85138584,29682.85141049,29682.85141049,31084.83062586,31000.06798933,29772.39483972,30108.47595885,30108.47598573,30462.55638957,31000.06812791,22100.00502506
39,29658.53410418,23000.00162949,20355.76287132,20535.76287132,20000.00168449,20001.107825,19414.42181646,20356.43953266,20411.38605447,20844.17093403,20796.17678817,23000.00970402,21744.00840403,23000.00980405,20000.00823503,20000.00923503,20000.00923503,20844.17223407,21923.50704065,24629.37883172,25408.85558403,25377.72233629,25377.72247129,25301.79527247,25377.72267129,25408.85591903,25425.61663848,25408.85591903,25669.52503903,25489.09249961,27499.99996159,25408.85591903,26999.99989245,25999.9996609,25999.9996609,25999.9996609,25624.91117466,25489.09249961,25408.85591903,25408.85591903,25408.85591903,25489.09249961,25408.85591903,25408.85591903,26215.37103925,26215.37104471,27683.09042721,27683.09054421,27832.71346574,29407.38305424,28151.05360437,28630.01240121,31000.06748428,30263.12103168,29682.85202864,29772.39485656,30000.0000055,30108.47603014,30324.35878732,21605.82038568
40,28150.04186902,22141.2362641,20004.597835,20004.597835,19414.42171644,19414.42171644,19357.28576936,20004.599335,20356.43954266,20356.43954266,20000.0017,21744.008304,21588.00020003,21744.00840403,20000.0003,20000.0013,20000.0013,20796.1769882,21895.73604962,24620.59392218,25377.72233629,25301.79503747,25301.79527247,25286.76812225,25301.79547247,25377.72267129,25408.85591903,25377.72267129,25624.91117466,25408.85591903,25850.0013,25377.72267129,25624.91117466,25624.91117466,25624.91117466,25624.91117466,25489.09249961,25408.85591903,25377.72267129,25377.72267129,25377.72267129,25408.85591903,25403.37838193,25403.37838193,25899.43659635,25550.23118298,27552.23118298,26343.16736326,27683.09054421,28151.05356384,27832.71349039,28561.15461355,30108.47539954,30108.47590459,28151.05504717,29682.85204548,29772.39487544,29772.39491097,29927.67709073,21462.64070674
41,26167.04286903,21743.008039,20000.000155,20000.00168449,19226.900055,19357.28566936,19226.900055,19414.42391646,19414.42392646,20000.03801,20000.0,21588.0,21000.01010003,21588.00020003,19414.42530435,19414.42630435,19414.42630435,20645.57137245,21847.98023918,24544.00168118,25301.79503747,25286.76798725,25286.76812225,25272.00957953,25286.76832225,25301.79547247,25377.72267129,25301.79557247,25489.09249961,25403.09475922,25624.91117466,25301.79557247,25489.09249961,25489.09249961,25489.09249961,25489.09249961,25408.85591903,25377.72267129,25301.79557247,25301.79557247,25301.79557247,25403.37838193,25377.72267129,25377.72267129,25489.09249961,25489.09250507,26343.16724626,26215.37116171,27495.91063086,27832.71346574,27683.09056886,28352.08287912,29772.39428479,29772.39478984,27832.71407936,28151.05507925,29682.85206436,29682.85209989,29772.39491097,20853.65389928
42,25000.000369,20887.72845953,19976.000055,19414.42171644,18024.12550453,19226.900055,18024.12560453,19226.900225,19226.900235,20000.0017,19414.42392646,20844.17093403,20844.17113407,21000.01010003,19300.08911004,19238.94043503,19392.21998847,20642.87923332,21784.39639901,24527.98464997,25286.76798725,25272.00934453,25272.00957953,25255.7570659,25272.00977953,25286.76832225,25301.79547247,25286.76832225,25428.93653308,25377.72267129,25489.09249961,25286.76832225,25408.85591903,25408.85591903,25408.85591903,25408.85591903,25381.09348275,25301.79557247,25286.76832225,25286.76832225,25286.76832225,25377.72267129,25301.79557247,25301.79557247,25408.85591903,25408.85592449,26215.37104471,26054.52934313,26343.16736326,27683.09054421,27495.91065551,28290.69416447,29682.85145015,29682.8519552,27683.09115099,27832.7140962,28151.05510613,28151.05514166,29682.85209989,20324.35875914
43,24139.17326902,20844.17843903,19414.42171644,19226.900055,15159.09859078,18024.12550453,15000.09,19200.0899,18024.12571453,19414.42392646,19226.900235,20796.17678817,20796.1768882,20844.17113407,19238.94043503,18336.8478236,19238.94043503,20632.03816084,21777.31479625,24500.01090405,25272.00934453,25255.7569309,25255.7570659,25253.68890339,25255.7572659,25272.00977953,25286.76832225,25272.00987953,25408.85591903,25301.79557247,25408.85591903,25272.00987953,25377.72267129,25377.72267129,25377.72267129,25377.72267129,25377.72267129,25286.76832225,25272.00987953,25272.00987953,25272.00987953,25301.79557247,25272.00987953,25272.00987953,25403.37838193,25403.37838739,25489.09250507,25489.09262207,26215.37116171,27495.91063086,26343.16738791,28151.05360437,28151.05449804,28151.05500309,27495.91123096,27683.09116783,27832.71412308,27832.71416749,28151.05514166,20008.00043802
44,23000.00166902,20004.49258,19400.62128608,18024.12550453,15000.00829402,16486.07990507,15000.00839402,18024.12570453,16200.08971,19226.900235,18192.00001016,19414.42392646,20000.00813503,20796.1768882,18202.14723306,18202.14823306,19176.50548975,20590.89308353,21764.30067196,24475.91184529,25255.7569309,25253.68876839,25253.68890339,25242.97983933,25253.68910339,25255.7572659,25272.00977953,25255.7573659,25377.72267129,25286.76832225,25403.09475922,25255.7573659,25301.79557247,25301.79557247,25301.79557247,25301.79557247,25301.79557247,25272.00987953,25255.7573659,25255.7573659,25255.7573659,25286.76832225,24999.46903551,24998.92943348,25378.3997,25377.72267675,25408.85592449,25408.85604149,26054.52934313,26899.37566951,26215.37118636,27913.72231671,27832.71353005,27832.71404194,26263.10281575,27495.9112478,27683.09119471,27683.09123912,27832.71416749,19516.913487
45,21743.000269,20000.0,19226.900055,15159.09859078,14707.94131881,15382.19899748,14700.009928,16058.15362455,15000.00850402,18024.12571453,18024.12606243,19226.900235,20000.00010003,20000.00813503,15191.28526989,17434.91268457,19153.53071068,20560.36162086,21744.00950403,24447.92428046,25253.68876839,25242.97970433,25242.97983933,24500.00013505,25242.98003933,25253.68910339,25255.7572659,25253.68910339,25301.79557247,25272.00987953,25377.72267129,25253.68910339,25286.76832225,25286.76832225,25286.76832225,25286.76832225,25286.76832225,25255.7573659,25000.0013,25000.0013,25000.0013,25279.51525201,24998.92943348,24655.34130061,25377.72267129,25301.79557793,25403.37924269,25406.38305424,25819.84467244,26343.16736326,26147.17133718,27832.71349039,27683.09060852,27683.09111357,26215.37176867,26263.10283261,27495.91127468,27495.91131021,27683.091328,19414.42813357
46,21589.32216525,20000.0,18024.12550453,15000.00829402,14700.009828,15159.09859078,14674.83864578,15000.00849402,14700.010038,18000.00001,18000.00001,18202.14703303,19414.42402649,19414.42402649,15000.01610503,17423.86292231,19112.8997128,20526.83115661,21729.18727059,24425.0504547,25242.97970433,24500.01090405,24500.00013505,24139.39138905,24500.00033505,25242.98003933,25253.68910339,25242.98003933,25286.76832225,25255.7573659,25301.79557247,25242.98003933,25272.00987953,25272.00987953,25272.00987953,25272.00987953,25272.00987953,25000.0013,24499.99855499,24999.37101319,24999.37101319,25272.00987953,24655.34130061,24203.4863977,25301.79557247,25272.00988499,25377.72267675,25403.37935969,25489.09262207,26215.37116171,26143.684384,27683.09056886,27495.91069517,27495.91120022,25489.09323219,26215.37178551,26215.37181045,26215.37185486,27495.91131021,16252.42124173
47,20844.17066903,19414.42166144,15159.09859078,14700.009828,14286.87819402,15000.0899,14286.87829402,14700.010028,14674.83875578,17164.55722536,15191.28506986,17521.36256657,19355.41571598,19226.90033503,15000.00870405,17316.39065149,19099.43014347,20524.80918828,21723.23240342,24413.46317417,25205.80830602,24139.39115405,24139.39138905,22388.00153503,24139.39158905,24500.00033505,25242.98003933,24500.00033505,25272.00987953,25253.68910339,25286.76832225,25000.0013,25255.7573659,25255.7573659,25255.7573659,25255.7573659,25255.7573659,24042.79851545,23792.7974722,24499.99855499,24747.71305162,25000.0013,23999.98716237,24165.36933375,25272.00987953,24980.00943894,25301.79557793,25377.72279375,25408.85604149,25819.84467244,26085.2157367,27495.91065551,26215.37122602,26215.37173791,25408.85664161,25489.09324903,25489.09326791,25489.09330344,26215.37185486,15745.55550845
48,20003.9801,19250.0,15000.00829402,14286.87819402,14033.87793402,15000.00829402,14033.87803402,14674.83874578,14286.87840402,15191.28506986,15000.00850402,15191.28506986,19226.90033503,18202.14713306,14816.73879305,17314.38093787,19093.65584814,20476.58452054,21000.01020003,24408.85558403,24500.01090405,22388.00130003,22388.00153503,21744.00963903,22604.17807696,24139.39158905,24500.00033505,24363.30052199,25255.7573659,25242.98003933,25272.00987953,24500.00033505,25253.68910339,25253.68910339,25000.0013,25000.0013,25000.0013,23227.25026109,22797.02162227,23792.7974722,23844.40094177,24999.37101319,22747.9971664,24129.44520964,25074.78943348,24378.40010546,25272.00988499,25301.79569493,25406.38305424,25489.09262207,25489.09264672,26343.16738791,25489.09268638,25489.09320143,25403.37997647,25408.85665845,25408.85668533,25408.85672086,25660.05634,15724.00027574
49,19464.77838157,19051.17554172,15000.000055,14033.87793402,14000.0,14700.009828,14000.0002,14626.52948342,14191.29615986,15000.00850402,14700.010039,15000.00850402,18202.14713306,15191.28516989,14734.84593978,17218.09659722,19089.77256389,20473.02386528,20844.17223407,24401.16684471,24139.39105405,21744.00950403,21744.00963903,21000.01020003,22388.00173503,22388.00173503,24139.39158905,24139.39168905,25253.68910339,24500.00033505,25255.7573659,22597.991335,25242.98003933,25242.98003933,24349.99926775,24349.99926775,24349.99926775,22388.00183503,22388.00183503,22388.00183503,23826.4195514,23999.98716237,22388.00183503,24000.46903551,24000.46903551,24000.46904097,24980.00943894,25272.01000199,25403.37935969,25408.85604149,25408.85606614,26215.37118636,25408.8561058,25408.85661085,25377.72340053,25403.37999331,25403.38001219,25403.38004772,25489.09330344,15499.88184012
50,19414.41389144,18024.12524953,14700.009828,14000.0,13863.37288413,14286.87819402,13600.00828402,14286.87839402,14033.87814402,14700.010039,14674.83875578,14674.83875578,15191.28516989,15000.00860405,14723.18481956,17199.70978364,19080.22731042,20000.00923503,20796.1769882,24139.39105405,22388.00130003,21000.01020003,21000.01020003,21000.000135,22364.5016986,22364.5016986,22388.00173503,22388.00183503,25242.98003933,23150.72104801,25253.68910339,22388.00183503,25000.0013,25000.0013,22388.00183503,22388.00183503,22388.00183503,21744.00983903,22130.00036007,21744.00983903,23792.7974722,22999.99859798,21744.00983903,23999.98716237,22126.99817,22126.99817,24000.46955697,25064.40997097,25377.72279375,25403.37935969,25403.37938434,25489.09264672,25403.379434,25403.37993905,25301.79594476,25377.72341737,25377.72343625,25377.72346401,25408.85672086,14999.99980892
51,19259.0,15659.09869078,14286.87819402,13850.00818402,13600.00818402,14033.87793402,13287.43335877,14033.87813402,13698.61684989,14674.83875578,14286.87840402,14286.87840402,15000.00860405,14674.83885581,14713.97620706,17183.75170233,19060.36162086,20000.0013,20000.00923503,22934.34089521,21744.00950403,21000.0,21000.000135,20844.17246907,21744.00983903,21744.00983903,21744.00983903,21744.00983903,24518.443121,22388.00183503,25242.98003933,21973.93170359,24500.00033505,24399.99946679,21894.09485922,21744.00983903,21744.00983903,21000.01140003,21744.00983903,21000.01140003,22999.99759798,22388.00183503,20904.80997913,22969.87063261,21744.00983903,22006.05697,23700.0066694,24980.00955594,25301.79569493,25377.72279375,25377.7228184,25408.85606614,25377.72285806,25377.72336311,25272.01011056,25301.7959616,25301.79598848,25301.79601624,25403.38004772,14999.99899948
52,18024.11747953,15000.00823902,14033.87793402,12950.00802501,12950.00802501,14000.0001,13046.2787259,13693.66210203,13625.15461468,14286.87840402,14033.87814402,14033.87814402,15000.00010003,14286.87850405,14674.83895581,17159.59402119,19035.00024757,19930.68313368,20000.0013,22388.00130003,21000.01020003,20844.17223407,20844.17246907,20000.00937003,21000.01040003,21000.01140003,21000.01140003,21000.01140003,24500.00033505,21744.00983903,24500.00033505,21894.09475922,24097.991335,22388.00183503,21744.00983903,21360.92892656,21000.01140003,20002.16788,21000.01140003,20008.0,22388.00183503,21900.00185304,20008.0,22750.301,21502.0360215,21744.00341745,22126.89804,24000.46967397,25272.01000199,25301.79569493,25301.79571958,25403.37939434,25301.79575924,25301.79590734,25160.31702755,25272.0101274,25272.01015428,25272.01018204,25160.31709711,14999.89989841
53,16500.0,15000.008239,14000.00168449,12500.00892501,12629.1234286,13600.00818402,12500.00902501,13600.00838402,13600.00839402,14033.87814402,14000.03701,13600.00839402,14674.83885581,14033.87824405,14672.27528098,17156.18168466,18994.33586104,19414.42630435,19414.42630435,21744.00950403,21000.0,20796.1769882,20000.00937003,20000.001435,21000.000335,20255.16966387,20000.150417,20000.150417,23864.60522706,21000.01140003,22597.991335,21744.00983903,22388.00183503,21894.09485922,21000.01140003,21000.01140003,20002.0,20002.0,20008.0,20002.46788,22193.72950913,21744.00983903,20000.00957003,22388.00183503,20008.0,20905.7269215,22006.033831,23634.80830905,25064.40997097,25272.01000199,25272.01002664,25377.7228184,25272.0100663,25272.01007314,25064.4100603,25160.31704441,25160.31706935,25160.31709711,24266.04953239,14504.71390364
54,16405.0001,15000.0,13850.00828402,12039.15694228,12500.00892501,12500.00892501,12039.15704228,13000.0001,13000.00011,13600.00839402,13600.00839402,12798.53555491,14286.87850405,14000.0,14656.18068466,17144.3079718,18962.12497911,19238.94043503,19238.94043503,21000.01020003,20844.17223407,20000.00923503,20000.001435,19804.04,20816.87120382,20000.150417,20000.00957003,20000.01,22475.01072062,20000.150417,22388.00183503,21150.43917,21894.09475922,21744.00983903,20000.05,20000.00957003,20000.00957003,20000.00957003,20002.46788,20002.0,21816.08803713,21006.065491,19964.944254,21744.00983903,19802.72176155,20008.0,21744.00341745,22200.00471587,24980.00955594,25064.40997097,25160.31695074,25301.79571958,25160.3169904,25160.31699585,24000.46986852,25064.41006714,25064.41009402,25064.41013066,24000.46994002,14500.00013032
55,16000.000269,14700.009773,12950.00802501,12000.017825,12039.15694228,12039.15694228,12000.010155,12500.7262,12500.00913501,13000.00011,13000.00011,12052.01584145,14033.87824405,13817.01209537,14636.8468236,17079.47694663,18336.8478236,18434.50823683,18336.8478236,21000.0,20796.1769882,20000.0013,19804.04,19414.42643935,20255.16966387,20000.00957003,20000.0,20000.00957003,22388.00183503,20000.00957003,21744.00983903,21000.01140003,21744.00983903,21000.01140003,20000.00957003,19600.14773061,20000.0,19414.42663935,20002.0,20000.00957003,21744.00983903,20008.0,19899.43659635,21000.02708997,19414.42663935,19414.42663935,20008.0,22006.031177,24000.46967397,24980.00955594,25064.40999562,25272.01002664,25064.41003528,25064.41003528,23899.37576432,24000.46988538,24000.46991226,24000.46994002,23227.61214888,14199.7768904
56,16000.0001,14286.87813902,12558.74902501,12000.00929402,12000.017825,12000.017825,12000.00939402,12500.00912501,12100.72611,12976.88242315,12543.4684481,12039.15715228,13734.84583978,13734.84583978,14566.34573666,17051.3445301,18202.14823306,18336.8478236,18202.14823306,20844.17223407,20000.00923503,19414.42630435,19414.42643935,18548.96854776,20000.00957003,19804.0412,20000.0,20000.0,21744.00983903,19804.0412,21000.01140003,20250.0,21000.01140003,20000.00957003,19600.14773061,19414.42663935,19414.42663935,19360.92892656,20000.00957003,19508.74414831,21000.01140003,20000.00957003,19747.71305162,20008.0,19074.30524121,19201.59634381,19414.42663935,21943.72766455,23109.63731364,24000.46977397,24486.23835743,25160.31695074,24000.46983139,24000.46983684,23655.13094363,23227.61211667,23227.61212667,23227.61214888,22890.63286261,14000.00039864
57,15050.002003,14059.56955538,12500.00892501,12000.007925,12000.00929402,12000.00929402,12000.008025,12039.15714228,12039.15715228,12543.4684481,12500.00913501,12000.00950402,12800.00839405,13167.0,14546.715044,17035.73781652,15745.555017,18202.14823306,17937.52626989,20796.1769882,20000.0013,19238.94043503,19238.94043503,18011.13011502,20000.001635,19414.42663935,20000.0,20000.0,21000.01140003,19500.0,20000.150417,20000.150417,20000.150417,19600.14773061,19414.42663935,19023.22046269,19360.92892656,19115.5294348,19414.42663935,19414.42663935,20499.98716237,19747.71305162,19592.793464,20000.00957003,19006.058296,18943.72766455,18943.72766455,21744.00341745,22211.16512855,23227.61185134,24000.46979173,25064.40999562,23227.61192465,23227.61192465,23227.61195634,23109.63742197,23109.63744085,22890.63286261,22211.1652445,13900.00012366
58,15000.000666,14033.87763902,12039.15694228,11901.60125349,12000.007925,12000.007925,11745.998955,12000.00949402,12000.00950402,12500.00913501,12039.15715228,12000.0,12554.48469528,13000.05,14526.3709877,15745.555017,15269.55447374,16591.28626989,15745.555017,20000.00923503,19946.46827179,18202.14823306,18202.14836806,17937.52640489,19804.0402,18011.13031502,20000.0,19804.0412,20000.44856778,19414.42663935,20000.00957003,20000.00957003,20000.00957003,19414.42663935,16955.60411401,18952.24274,18952.24274,18952.24274,19360.92892656,19360.92892656,20008.0,19592.793464,19414.42663935,19969.80530341,18943.72766455,16147.10474647,18923.24467936,21717.54697343,22200.00471587,23109.63731364,23227.61187599,24000.46979173,23109.63737795,23109.6373834,23109.63741511,22211.16520674,22263.06872746,22211.1652445,22100.00474336,13648.78289502
59,15000.00046902,13850.00813902,12000.017825,11745.998855,11745.998855,11745.998855,11688.40553566,12000.008125,12000.008135,12039.15715228,12000.00950402,11567.48458525,12431.76391727,12800.00839405,14469.01198937,15191.28626989,15191.28626989,15745.555017,15000.01710503,20000.0013,19414.42630435,17937.52626989,17937.52640489,16703.24693626,19414.42663935,17937.52660489,19974.60493105,19455.16932352,20000.150417,19165.16793191,19899.9994124,20000.002,19613.46323551,16955.60411401,16765.81785048,16955.60411401,18600.14703477,18600.14703477,18600.14703477,18600.14703477,20002.46788,19414.42663935,18967.64381767,19802.72176155,17375.10971147,16102.0,18921.34138364,21128.56537411,22006.01306,22211.16512855,23109.63733829,23227.61187599,22211.16516821,22211.16516821,22211.1651999,22200.0049094,22211.16521674,22173.43268209,21698.63569009,13000.05183264
60,14500.00146902,13691.0,12000.00929402,11434.7763385,11417.48385901,11417.48427525,11417.48437525,11745.999055,11745.999065,12000.00950402,12000.008135,11111.00021,12039.15735232,12554.48469528,14462.15901429,15000.01710503,15000.01710503,15000.01710503,15000.00970405,19414.42630435,19238.94043503,15745.555017,17119.36159646,15745.555152,19379.85064357,15745.555352,19804.0412,19414.42663935,20000.00957003,16996.6590983,19804.0412,19806.0412,19414.42663935,15937.5265,15900.0,15745.555352,16955.60411401,17887.35734826,17630.37857139,17919.30020496,20002.0,19154.02452274,18006.062081,19747.71305162,16102.0,16000.01140003,17901.38293724,20289.36322504,21744.00341745,22200.00471587,22211.16512855,23109.63733829,22200.00475553,22200.00475553,22200.00490256,22149.556141,22200.00492828,22100.00474336,21602.87684398,12799.99991405
61,14286.87036902,12950.00797001,12000.007925,11417.48385901,11383.007194,11383.007194,11181.17122501,11417.48447525,11567.48448525,12000.008135,11567.48458525,10770.52361223,12000.00970408,12039.15735232,14354.98928853,15000.00970405,15000.00970405,15000.00970405,14498.299317,19238.94043503,18202.14823306,15000.01710503,16808.65665882,15036.67943337,18011.13031502,15671.83061696,19455.16932352,17937.52670489,20000.0,15937.5265,19414.42663935,19414.42663935,18319.56494181,15745.555352,15745.555352,15000.01003905,15745.555352,16955.60411401,17406.90598316,16501.0,20000.00957003,18986.86173661,16102.0,19592.793464,16000.01140003,15745.555352,17755.6169215,20008.0,20539.98688563,22006.01306,22200.00471587,22899.37569416,21563.36392532,21563.36393077,21752.5611275,21585.99430934,22149.55615988,21999.16907387,20008.00015632,12000.29039764
62,13850.00036902,12558.74897001,11745.998855,11383.007194,11181.17112501,11181.17112501,11111.0001,11181.17132501,11181.17133501,11666.00041,11424.23858476,10689.04284588,12000.00020006,12000.00970408,14286.87860405,14674.83995581,14674.83995581,14674.83995581,14286.87960405,18336.8478236,17937.52626989,15000.00970405,15745.555152,15000.00983905,17937.52660489,15000.01003905,19414.42663935,17832.9678827,19804.0412,15745.555352,18640.39852589,18630.8254331,15937.5265,15257.97,15000.01003905,14500.001335,15000.01003905,16308.27566018,15745.555352,15745.555352,20000.0,16102.0,16000.01140003,19414.42663935,15745.555352,15000.01004451,16235.44213198,19414.42668935,20230.57217731,21246.44634313,21246.44637666,22211.16512855,20008.00006431,21405.03421888,21575.57846245,20282.66193075,21585.99433622,21602.87684398,19516.9132053,11927.23977991
63,12950.00020001,12500.00887001,11488.65110504,11181.17112501,11000.000055,11111.0,11000.000155,11111.0002,11111.00021,11567.48458525,11181.17133501,10682.018027,11111.00041006,12000.00020006,14033.87834405,14286.87960405,14498.299317,14498.299317,14033.87934405,18202.14823306,16767.36267926,14500.0,15000.01724003,14500.000135,16283.42311429,15000.0,18460.51875534,17511.13041502,19435.16927828,15547.56956637,17397.23095719,15937.5265,15745.555352,15200.0,14500.001335,14498.0,14500.001335,15934.66884263,15102.94274,15000.01003905,19414.42663935,16053.4178,15962.3816652,19006.061841,15504.20218044,15000.0,16102.0,19381.16856689,20008.0,20008.0,20008.00002465,22200.00471587,19414.42776892,20008.00007115,20008.00010284,20008.00010968,21063.87195763,20934.41389365,19414.42786075,11837.0063662
64,12558.74120001,12100.20927001,11383.007194,11000.000055,10770.52340223,11000.000055,10776.90713437,11000.000255,10770.52361223,11486.00000026,11111.00021,10667.4,10770.52381229,11720.76578547,14000.0,14033.87934405,14286.87960405,14286.87960405,14000.001,17937.52626989,15745.555017,14498.299317,15000.00983905,14286.87973905,15745.555352,14500.001335,18011.13031502,16767.73752653,19414.42663935,15257.97,15937.5265,15745.555352,15257.97,15000.95078203,14286.87993905,14286.87993905,14286.87993905,15745.555352,15000.01003905,14628.07748585,18400.00185304,16000.01140003,15745.555352,18955.18382155,15292.79232934,15000.0,15890.34195405,17755.6169215,19414.42668935,19414.42668935,19754.74831563,21425.22537666,18899.37573382,19414.42776892,19935.91061913,19999.99960911,20008.00012856,20263.05049759,16252.42123285,11800.00086165
65,12500.00110001,12039.15688728,11181.17112501,10770.52340223,10689.04263588,10770.52340223,10770.52350223,10770.52360223,10689.04284588,11448.0,10770.52361223,10009.26051402,10711.11094007,11696.87292238,13581.56366468,14000.001,14033.87934405,14033.87934405,13167.0011,15745.555017,15000.01710503,14286.87960405,14500.000135,14033.87957905,15281.05027824,14354.001,17937.52660489,15745.555352,17937.52670489,15097.991335,15745.555352,15257.97,15000.95078203,15000.01003905,14033.87987905,14033.87987905,14250.0,15155.1,14628.07748585,14500.001335,15745.555352,15745.555352,15000.01004451,17375.10971147,15000.01004451,14999.89950753,15745.555352,17523.23320482,17816.91305565,17999.79832299,19414.42772926,20008.00002465,17879.99001394,18899.37573927,19414.42780727,19477.80623333,19999.99962799,20008.00015632,15745.55522675,11729.07693671
66,12100.20150001,12000.01777,11000.000055,10689.04263588,10682.017817,10689.04263588,10689.04273588,10763.43375267,10682.018027,11181.17133501,10689.04284588,10001.74200502,10689.04304594,11662.36993145,13215.00817405,13215.00917405,14000.001,14000.001,13000.0511,15000.01710503,15000.00970405,14033.87934405,14286.87973905,14000.001135,15000.01003905,14286.87993905,17390.0,15257.97,17832.9678827,15000.01003905,15257.97,15000.01003905,15000.01003905,15000.001,14000.001335,14000.001335,14033.87987905,15000.01003905,14500.001335,14286.87993905,15053.4178,15000.01003905,15000.0001,16102.0,15000.0002,14500.0,15107.93584771,16126.61265886,17755.6169215,17816.91305565,18899.37569416,19414.42772926,17816.91311996,18356.8117,17816.91315182,19414.42781411,19414.42783299,19414.42786075,15724.00026686,11600.00003664
67,12039.14911728,12000.00923902,10770.52340223,10682.017817,10428.67765014,10682.017817,10682.017917,10689.04283588,10522.38792171,11111.00021,10682.018027,10000.0352,10682.01822706,11642.56983237,13167.0001,13167.0011,13167.0011,13167.0011,12554.48579528,15000.00970405,14498.299317,14000.001,14033.87957905,13167.001235,14500.000335,14033.87977905,15745.555352,15000.01003905,15745.555352,14500.001335,15000.01003905,15000.001,15000.001,14500.001335,13937.5265,13937.5265,14000.001335,14500.001335,14286.87993905,14033.87987905,15000.01003905,14958.93611394,14500.001335,16000.01140003,15000.0,14075.01669133,15079.43155114,15745.555352,17622.24216299,17178.32700594,17999.79832299,17816.9130803,17399.79837265,17816.9131268,16399.79853144,17816.91315866,17816.91317754,17816.9132053,15499.88155842,11472.00330553
