rank_,d2009_01_31,d2009_02_28,d2009_03_31,d2009_04_30,d2009_05_31,d2009_06_30,d2009_07_31,d2009_08_31,d2009_09_30,d2009_10_31,d2009_11_30,d2009_12_31,d2010_01_31,d2010_02_28,d2010_03_31,d2010_04_30,d2010_05_31,d2010_06_30,d2010_07_31,d2010_08_31,d2010_09_30,d2010_10_31,d2010_11_30,d2010_12_31,d2011_01_31,d2011_02_28,d2011_03_31,d2011_04_30,d2011_05_31,d2011_06_30,d2011_07_31,d2011_08_31,d2011_09_30,d2011_10_31,d2011_11_30,d2011_12_31,d2012_01_31,d2012_02_29,d2012_03_31,d2012_04_30,d2012_05_31,d2012_06_30,d2012_07_31,d2012_08_31,d2012_09_30,d2012_10_31,d2012_11_30,d2012_12_31,d2013_01_31,d2013_02_28,d2013_03_31,d2013_04_30,d2013_05_31,d2013_06_30,d2013_07_31,d2013_08_31,d2013_09_30,d2013_10_31,d2013_11_30,d2013_12_31
13,50.0,150.0,150.0,198.0,200.0,200.0,225.0,250.0,250.0,350.04,350.04,698.5,800.0,5100.0,6062.74,10000.0,15000.0,17000.0,20001.0,20800.0,24990.0,28150.0,28150.0,29990.0,28150.0,31000.0,28150.0,31000.0,30367.97,31000.0,35699.0,50000.0,50000.0,50000.0,38695.7470805,38057.08507373,40000.0,40000.0,40000.0,38057.08507373,40000.0,40000.0,40000.031337,40000.031337,40000.0,40000.0,40000.0411,40000.0411,40000.0411,40000.0411,40000.04115,40000.041151,40000.313371,40000.313371,41500.88829933,44864.20534943,44864.20534943,47361.37374491,40969.56940002,40000.31473802
14,50.0,150.0,150.0,150.0,198.0,198.0,200.0,225.0,225.0,250.0,250.0,550.0,698.5,3350.0,5900.0,10000.0,10672.08,16667.79,20000.0,20001.0,20780.0,25549.58,25549.58,28150.0,25549.58,28405.0,26457.31,28150.0,29901.47,28150.0,31000.0,50000.0,50000.0,50000.0,38057.08507373,38000.0,38057.08507373,38057.08507373,38057.08507373,38000.0,38057.08507373,40000.0,40000.031337,40000.031337,38058.031337,39419.82355666,40000.0411,40000.0,38058.0411,38000.0411,40000.0411,40000.041101,40000.041151,40000.041151,40504.003,41666.5509728,40000.313371,45029.56820002,40000.31357102,40000.04351803
15,50.0,150.0,150.0,150.0,150.0,150.0,198.0,200.0,200.0,225.0,225.0,500.0,550.0,3233.17,5500.0,10000.0,10500.0,15000.0,19400.0,20000.0,20001.0,25052.58,25052.58,26100.0,25057.26,28150.0,25549.58,25549.58,28150.0,24738.91,28150.0,50000.0,50000.0,50000.0,38000.0,34995.39,38000.0,38000.0,38000.0,35000.0,38000.0,40000.0,40000.031337,38058.031337,38000.031337,38058.0411,40000.0,38058.0411,38000.0411,37467.09483673,40000.0411,40000.04110011,40000.041101,40000.041101,40000.313371,40000.313371,40000.04215101,44864.20534945,40000.04235103,40000.04246803
16,50.0,150.0,150.0,150.0,150.0,150.0,150.0,198.0,198.0,200.0,200.0,500.0,500.0,2361.55,5100.0,8195.06,10200.0,13750.0,17200.0,19400.0,20000.0,25000.0,25000.0,25549.58,25052.58,26457.31,25052.58,25052.58,26354.16,24638.45,24738.91,50000.0,50000.0,50000.0,34995.39,31000.0,34995.39,34995.39,34995.39,34995.39,33000.0,38057.08507373,40000.031337,38000.031337,35000.0,38000.0411,40000.0,38000.0411,37349.67280232,35254.5039873,38000.0411,40000.0411001,40000.0411001,40000.0411001,40000.042151,40000.04215101,40000.04110101,43632.34600002,40000.04130103,40000.04207013
17,50.0,119.01,119.01,150.0,150.0,150.0,150.0,150.0,150.0,198.0,198.0,400.0,500.0,2350.0,4850.0,8000.0,10000.0,11551.0,17000.0,17200.0,19400.0,20000.0,24990.0,25052.58,23249.0,25549.58,23377.83,24638.45,25549.58,23249.0,24638.45,50000.0,50000.0,50000.0,31000.0,29999.99,31000.0,31000.0,31000.0,31000.0,32832.45148918,38000.0,38058.031337,35000.0,35000.0,35254.5039873,38058.0411,35254.5039873,35254.5039873,32445.0,37467.09483673,38918.26786421,37457.14483683,36751.3097631,40000.041101,40000.04110101,40000.04110011,40000.31337102,40000.04130013,39530.33599037
18,50.0,100.0,100.0,119.01,150.0,150.0,150.0,150.0,150.0,150.0,150.0,399.0,400.0,2250.0,4000.0,7650.0,10000.0,10850.0,16667.79,16667.79,17200.0,20000.0,23200.0,25000.0,20000.0,25052.58,23249.0,23249.0,24638.45,22595.72246038,23249.0,50000.0,50000.0,50000.0,29999.99,29854.77,29999.99,29999.99,29999.99,30000.0,31000.0,31000.0,38000.031337,31000.031337,31000.031337,35000.0,38000.0411,31480.14804788,31000.0411,31000.0411,35251.4939873,37467.09483683,35274.67189637,36473.08332346,40000.0411001,40000.04110011,38980.71638161,40000.04215103,39042.35301117,39016.97
19,50.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,350.04,399.0,2200.0,3750.0,6900.0,9260.0,10672.08,13884.0,13884.0,17000.0,19400.0,20710.58,23200.0,19650.01,23249.0,22051.93,22852.85,23249.0,22000.0,22000.0,49157.97,50000.0,50000.0,29854.77,28150.0,29854.77,28150.0,28150.0,29999.99,29999.99,29999.99,31000.031337,30000.031337,30000.031337,33000.0,35254.5039873,31000.0411,30000.0411,30000.0411,31890.0,35323.8093592,35002.0411001,36354.002,37200.0,36750.00976311,37359.25353761,40000.04110103,36997.01108401,36997.01202401
20,50.0,61.0,61.0,100.0,119.01,125.0,150.0,150.0,150.0,150.0,150.0,250.0,350.04,1313.38,3350.0,6650.0,9101.0,10599.8,12750.0,13350.0,16750.87,17400.0,20000.0,20000.0,19400.0,20150.5,20000.0,19400.0,20001.0,19988.65234568,19988.65234568,38000.0,48957.97,48957.97,28150.0,24738.91,28150.0,26970.79067699,26970.79067699,28150.0,28150.0,28150.0,30000.031337,28150.031337,28150.031337,31000.0411,35000.0,30784.26899989,28878.40828559,30000.0,31000.0411,35002.0411001,34004.0,35173.19282964,36852.51419027,36409.35932346,36750.00976311,40000.04110013,35949.9994001,36000.0
21,50.0,52.01,52.01,82.51,100.0,119.01,119.01,150.0,150.0,150.0,150.0,250.0,350.0,1050.01,3233.17,6062.74,8245.06,10000.0,10672.08,12750.0,16667.79,17200.0,19857.14,20000.0,17950.4,20000.0,19400.0,16946.96,20000.0,19400.0,19400.0,37957.08507373,38057.08507373,38057.08507373,24738.91,23249.0,26970.79067699,24738.91,25519.48470361,26970.79067699,26970.79067699,26970.79067699,28150.031337,26971.031337,27968.4133873,30733.1077,33000.0,30000.0411,28405.0,28150.0411,30400.6,33954.0,31000.0411,35002.0411001,36750.0097631,35002.04110011,35002.04110011,39442.01985178,34409.35852348,35909.998485
22,50.0,50.0,50.0,61.0,100.0,100.0,100.0,119.01,119.01,150.0,150.0,225.0,251.0,1000.0,2953.38,5900.0,8000.0,10000.0,10599.8,12100.0,16500.0,16500.0,19400.0,19857.14,16767.79,19400.0,17164.91,15730.72,20000.0,18901.47,17965.36,34995.39,38000.0,38000.0,23249.0,21900.98,24738.91,23300.0,24738.91,24738.91,26166.89,26166.89,26971.031337,26167.031337,26971.031337,30000.0411,31480.14804788,30000.0,28150.0411,27457.5294368,30000.0411,31000.0411,30171.22667565,31000.0421,36409.35932346,34512.829,34512.829,35949.9992001,31000.04230004,34409.35919248
23,50.0,50.0,50.0,52.01,82.51,100.0,100.0,100.0,100.0,119.01,119.01,200.0,250.0,895.65,2950.0,5100.0,6984.99,9260.0,10000.0,10672.08,15800.0,16217.79,19350.0,19450.0,16394.24,17200.01,16517.79,15000.0,19400.0,18131.31,17757.57575758,31000.0,34995.39,34995.39,21900.98,20300.0,23249.0,23249.0,24621.84084356,23640.51958313,23861.17263848,23640.51958313,26167.031337,25982.5455293,26167.031337,28522.88278853,31000.0411,28599.9938,27457.5294368,27105.11824644,30000.0,30000.0411,30000.0411,30000.0411,35002.0411001,33143.352,34409.35832346,35002.04110013,30500.0,32691.76537834
24,50.0,50.0,50.0,50.0,61.0,99.99,100.0,100.0,100.0,100.0,100.0,200.0,250.0,800.0,2950.0,5100.0,6900.0,8245.06,10000.0,10599.8,13350.0,15500.0,18606.0,19400.0,15700.0,17164.91,15000.0,15000.0,18131.31,17757.57575758,16901.47,28150.0,31000.0,31000.0,21800.0,20000.0,21900.98,21900.98,23800.0,23249.0,23640.51958313,23249.0,23641.031337,25682.23705534,25093.43065143,28150.0411,30000.0411,28150.0411,26579.68746291,26276.25177459,29057.5294368,30000.0,30000.0,30000.0,32069.18075295,33050.0,33632.346,34409.35832348,30000.04140003,32162.15521092
25,50.0,50.0,50.0,50.0,52.01,82.51,99.99,100.0,100.0,100.0,100.0,198.0,225.0,700.0,2500.0,5055.67,6752.0,8211.55,9260.0,10400.87,12750.0,15000.0,16500.0,19072.43,15000.0,16517.79,14800.0,14000.0,15000.0,13481.95,14725.31368496,24738.91,28150.0,28150.0,20000.0,19976.62234568,20800.0,19400.0,23249.0,22800.0,23249.0,22300.0,23249.031337,24470.946702,23641.031337,26167.0411,28150.0411,26167.0411,26222.88278853,26167.0411,28150.0411,28150.0411,28150.0411,28150.0411,31000.0421,33009.32600331,33050.0,31608.00000002,30000.00220002,31569.80860581
26,50.0,50.0,50.0,50.0,51.0,76.0,82.51,99.99,99.99,100.0,100.0,188.0,200.0,698.5,2361.55,4950.0,6262.08,8150.0,9200.02,10000.0,12100.0,15000.0,16217.79,18800.0,14600.0,15700.0,12950.0,13504.09,13650.0,12950.0,14090.11807999,24638.45,24738.91,24738.91,19988.65234568,19400.0,20000.0,17965.36,21900.98,21900.98,22800.0,22013.0,22013.031337,23641.031337,23249.031337,25950.07591257,26167.0411,26005.5294368,26167.0411,26000.6,26287.43,26167.0411,27600.04110011,27600.04110011,30485.0,32125.05396264,31000.04210001,31000.04210004,29657.49719637,31501.05444537
27,50.0,50.0,50.0,50.0,50.1,61.0,76.0,82.51,82.51,99.99,99.99,150.0,200.0,652.57,2250.0,4872.99,6125.0,8000.0,8900.0,10000.0,11000.0,15000.0,15700.0,16500.0,14250.0,15000.0,12750.0,12950.0,13000.0,12800.0,12950.0,23249.0,24638.45,23249.0,19400.0,17965.36,19976.62234568,17000.0,19400.0,20000.0,22513.0,21900.98,21901.031337,23513.184,23000.031337,23641.0411,26098.22797431,24404.5046,25000.0,25392.94142259,26167.0411,24404.5046,26167.0411,26167.0411,30000.0411,31000.04210001,30000.04110001,30000.04110003,29262.92892147,31341.80047
28,50.0,50.0,50.0,50.0,50.03,52.01,61.0,76.0,76.0,82.51,82.51,150.0,198.0,600.0,2200.0,4250.0,6062.74,6752.0,8245.06,9700.0,10900.0,13800.0,15000.0,16217.79,13500.0,14007.61,12701.0,12800.0,12950.0,12167.79,12850.0,22000.0,23249.0,21900.0,17965.36,17484.18486148,19400.0,16090.27367176,17965.36,19400.0,22280.0,20000.0,21300.031337,23249.031337,22013.031337,23249.0411,24404.5046,24232.10151781,24404.5046,25000.0,25146.40017258,23249.0411,24404.5046,24404.5046,30000.001,30000.04110001,30000.002,30000.00200002,28211.89361281,31014.92698903
29,50.0,50.0,50.0,50.0,50.0,50.1,52.01,61.0,61.0,76.0,76.0,150.0,188.0,550.03,2000.0,3700.0,6000.0,6673.0,8000.0,9260.0,10800.0,13800.0,15000.0,15700.0,13000.0,13444.48,12500.0,12750.0,12800.0,11350.0,12800.0,19988.65234568,21900.0,20000.0,17942.15502252,17000.1,17965.36,15980.62789671,13050.0,17462.8285962,21900.98,19400.0,19400.031337,23000.0,21901.031337,22013.0411,24232.10151781,23249.0411,24232.10151781,24404.5046,24404.5046,23193.5279368,23249.0411,23249.0411,29173.54174304,30000.002,28150.0411,29657.4927247,28150.04130002,31000.04286904
30,50.0,50.0,50.0,50.0,50.0,50.03,50.14,52.01,52.01,61.0,61.0,150.0,150.0,550.0,1800.0,3581.28,5900.0,6062.74,6625.0,9200.02,10672.08,13500.0,15000.0,15057.26,12750.0,13000.0,12350.02,12701.0,12500.0,11300.0,12167.79,19870.77,20000.0,19988.65234568,17484.18486148,15188.45,17484.18486148,14442.15502252,12950.0,17012.0,19400.0,19349.72952245,19350.031337,22013.031337,20300.031337,21901.0411,23641.0411,22013.0411,23500.0,23249.0411,23249.0411,22661.34485399,21932.03384377,21932.03384377,28150.0411,28150.0411,26167.04210001,28150.04110002,27904.87967257,30901.79773467
31,50.0,50.0,50.0,50.0,50.0,50.0,50.1,50.14,50.14,52.01,52.01,150.0,150.0,500.0,1800.0,3233.17,5654.35,6000.0,6600.0,8999.0,10599.8,13000.0,15000.0,15000.0,12510.02,12950.0,12311.11,12500.0,12200.0,11111.11,11300.0,19400.0,19988.65234568,19854.77,17000.1,15000.0,15188.45,13050.0,12800.0,15538.43,19349.72952245,17000.0,17000.031337,21901.031337,20000.0,20000.0,23249.0411,21901.0411,23500.0,22013.0411,22013.0411,21015.8477,21497.21523766,21015.8477,27755.9775773,26167.04210001,24404.5056,27904.87947257,27107.76534173,30556.3899327
32,50.0,50.0,50.0,50.0,50.0,50.0,50.03,50.1,50.12,50.14,50.14,119.01,150.0,500.0,1750.0,3150.0,5366.5,5900.0,6530.0,8900.0,10000.0,12827.82,13800.0,15000.0,12500.0,12701.0,12200.0,12350.02,12167.79,11041.357,10689.03444187,17965.36,19854.77,19400.0,15188.45,15000.0,15000.0,12950.0,12000.0,13050.0,19000.0,15538.43,16002.5,20300.031337,19400.031337,20000.0,22013.0411,20000.993924,23249.0411,22000.0,21015.8477,20732.10151781,21015.8477,21000.0,27600.04110011,24404.5056,24139.1725,26167.04210003,26691.78153697,30539.97642476
33,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.03,50.1,50.12,50.12,100.0,150.0,500.0,1550.0,3000.0,5100.0,5803.76,6303.54,8860.1,10000.0,12750.0,13500.0,15000.0,12350.02,12600.0,11300.0,12200.0,12050.02,10689.03494187,10650.0,14700.0,19400.0,17965.36,15000.0,14874.9998,15000.0,12800.0,11867.8,12950.0,16374.0,13820.0,15799.9349,20000.0,18005.3185,19800.0411,22005.4294368,20000.0,22013.0411,21015.8477,20732.10151781,20500.0,21000.0,20811.0,26319.072,21932.03384377,21932.03384377,26141.13259865,26556.98599487,30500.000569
34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.03,50.12,50.12,100.0,150.0,400.0,1526.7,2953.38,5055.69,5589.06,6205.0,8333.33,10000.0,12000.0,13000.0,14600.0,12200.0,12500.0,10687.47,12167.79,11300.0,10650.0,10524.93143511,13100.11453974,17965.36,17700.0,15000.0,14442.15502252,14874.9998,12600.01234567,11540.5195962,12800.0,15538.43,13050.0,15538.43,19400.031337,16513.154,19798.045,21901.0411,19400.0411,22000.0,21000.0,20400.0,20400.0,20811.0,20732.10151781,26167.0421,21550.0,21000.001,24139.17250002,26460.45396813,30460.45246836
35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.1,50.1,100.0,123.66,399.0,1050.01,2750.0,4429.57,5500.0,6100.0,8000.0,10000.0,10672.08,13000.0,13850.36,11300.0,12350.02,10672.08,11999.75,11211.11,10500.0,10500.0,12950.0,17200.0,17000.1,14874.9998,13050.0,14442.15502252,12000.0,11350.0,12000.0,15000.0,12950.0,15134.9541,17317.999,16120.0,19400.0411,20701.80945782,18800.009763,21901.0411,20732.10151781,20000.0,20000.0,20732.10151781,20589.5999,24404.5046,21000.001,20844.17000001,21932.03384379,26442.60452268,30457.84104912
36,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.03,50.03,99.99,119.01,350.04,1000.0,2650.03,4250.0,5100.0,6062.74,8000.0,10000.0,10500.05,12750.0,13800.0,11000.0,12311.11,10500.0,11300.0,10687.47,10396.86,10411.11,12850.0,17000.1,15188.45,13050.0,12981.01234567,14433.49293139,11867.8,11300.0,11867.8,13050.0,12800.0,15006.50000001,17000.031337,15799.9349,18005.4294368,20000.0,18463.92336214,21015.8477,20000.0,19940.0,19740.0,20589.5999,20000.0,23249.0411,20844.21110001,20811.0,21071.1746,26167.04230003,30000.04196903
37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,82.51,100.0,251.0,1000.0,2500.0,4223.0,4999.0,6000.0,7944.06,9450.06,10000.0,12000.0,13500.0,10672.08,12200.0,10290.25,11211.11,10672.08,10050.0,10396.86,12800.0,15000.0,15000.0,12981.01234567,12950.0,13050.0,11350.0,11156.75,11350.0,12950.0,12100.0,14417.999,15799.9349,14437.0,17001.95,19400.0411,17591.3411138,19400.0411,19900.98,19414.3968074,19414.3968074,20000.0,19690.0,21932.03384377,20811.0,20589.5999,21000.00100002,24139.17270002,30000.00276902
38,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,61.0,100.0,250.0,1000.0,2327.0,4150.0,4500.0,5900.0,7427.0,9349.07,10000.0,11300.0,13000.0,10645.88,11300.0,10195.22,10687.47,10500.0,10000.00000001,10050.0,12246.98937268,13100.11453974,15000.0,12950.0,12800.0,12950.0,11300.0,10770.51520822,11300.0,12800.0,12034.0,13050.0,14286.87,14286.87,15799.9349,19300.009763,16205.0,18300.009763,19799.999,18965.82599031,18311.0,19690.0,19414.4128074,21000.001,20732.10151781,19690.0,20844.17000003,23932.03404379,29658.53192136
39,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.01,100.0,250.0,946.36,2250.0,4050.0,4350.0,5800.0,7000.0,9300.0,10000.0,11100.0,13000.0,10500.0,10687.47,10050.0,10672.08,10290.25,10000.0,10000.00000001,12167.79,13050.0,13100.11453974,12800.0,11867.8,12887.01234567,11156.75,10689.03444187,11100.01234567,12400.0,12002.5,12950.0,13050.0,13050.0,14866.0,18311.4,15799.9349,17999.99,19414.3968074,18586.23030373,18000.99,19414.4118074,19303.47335765,20811.0,20589.5999,19414.41322241,20811.00000002,23667.65734142,28150.04186902
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.22,99.99,250.0,895.65,2250.0,3806.0,4250.0,5383.5,6625.0,9260.0,10000.0,10672.08,12750.0,10239.45,10672.08,10000.0,10500.0,10195.22,10000.0,10000.0,11300.0,12950.0,13050.0,12246.98937268,11486.19819848,12800.0,10770.51520822,10500.01234567,10892.0,12206.985,12000.0,12800.0,12950.0,13001.95,14286.87,15799.9349,15501.34110407,17591.3411138,18139.27,18083.27,17960.10717601,17000.0,18669.598,20732.10151781,20000.04110012,18732.10151781,20480.00000001,23000.00120002,27904.88024157
41,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.14,82.51,225.0,800.0,2200.0,3700.0,4223.0,5166.66,6600.0,8999.0,10000.0,10500.05,12350.02,10050.0,10500.0,10000.0,10290.25,10050.0,10000.0,10000.0,11000.0,12800.0,12950.0,11867.8,11300.0,12000.0,10689.03444187,10500.0,10770.51520822,12100.01234567,11867.8,12600.0,12800.0,12950.0,13993.1381,15005.0,15000.0,17253.54,16700.009763,18000.99,17000.0,16927.27,17105.99129318,20589.5999,20000.0,18000.0,20000.0987,22811.00020002,26667.65781042
