rank_,d2009_01_31,d2009_02_28,d2009_03_31,d2009_04_30,d2009_05_31,d2009_06_30,d2009_07_31,d2009_08_31,d2009_09_30,d2009_10_31,d2009_11_30,d2009_12_31,d2010_01_31,d2010_02_28,d2010_03_31,d2010_04_30,d2010_05_31,d2010_06_30,d2010_07_31,d2010_08_31,d2010_09_30,d2010_10_31,d2010_11_30,d2010_12_31,d2011_01_31,d2011_02_28,d2011_03_31,d2011_04_30,d2011_05_31,d2011_06_30,d2011_07_31,d2011_08_31,d2011_09_30,d2011_10_31,d2011_11_30,d2011_12_31,d2012_01_31,d2012_02_29,d2012_03_31,d2012_04_30,d2012_05_31,d2012_06_30,d2012_07_31,d2012_08_31,d2012_09_30,d2012_10_31,d2012_11_30,d2012_12_31,d2013_01_31,d2013_02_28,d2013_03_31,d2013_04_30,d2013_05_31,d2013_06_30,d2013_07_31,d2013_08_31,d2013_09_30,d2013_10_31,d2013_11_30,d2013_12_31
1,2775.0,9075.0,16675.33,21175.33,26675.33,30675.33,36675.33,44473.86,53974.86,61424.62,61424.62,61424.62,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,85000.0,90000.0,90000.0,250000.0,250000.0,250000.01,200000.0,297000.0,424242.42424242,384587.42424242,104895.01,105000.0,105000.0,455501.30057744,105555.0,105555.0,148990.0,218990.0,308990.0,433805.2425047,470825.03449995,466835.01317523,157337.91540578,105611.0,105611.0,111111.0,111111.0,111111.11257533,111111.11257544,111111.11257544,111111.11257544,111111.12447432,111111.12458933,111111.12558933,111111.12758933,111111.12759844,144336.40607352,144341.51869192,144341.52165741
2,1000.0,1000.0,5350.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,13500.0,22500.0,22500.0,22500.0,34700.0,45935.9,45935.9,45935.9,45935.9,50000.0,49940.0,70000.0,80000.0,80000.0,72374.36,152083.77,150000.0,79956.0,145140.0,145140.0,134897.01,124895.01,79956.001,104895.01,104895.01,105258.88,105258.88,105258.88,105555.0,105555.0,105555.0,105555.0,105555.031337,105555.031337,150000.0,79957.031337,79957.0411,79957.0411,79957.0411,79957.0421,79957.0421,80793.19497055,92764.286339,92764.286339,92764.287339,79957.04461601,79957.04461601,79957.04461601,111114.60065824,111114.60391254,111114.60814044
3,500.0,800.0,1000.0,2250.0,2250.0,2250.0,2250.0,2250.0,3850.01,8000.0,8000.0,15954.35,20704.35,32336.33,39700.0,41700.0,42700.0,44750.0,45935.9,45935.9,45935.9,72374.36,72374.36,57900.65,72374.36,72374.36,72374.36,79956.0,79956.0,79956.001,79956.001,59010.39628323,100000.0,100000.0,80000.10742356,79956.001,80890.0,105258.88,105258.88,95258.88,79956.001,79956.032337,79957.031337,105558.15740403,53000.031337,53000.0411,55000.0,59300.0,53000.0421,53880.0421,79957.0421,79957.042101,79957.042101,79957.04211601,75779.8,69471.08643162,70092.54333391,80696.68734475,99993.0002,85993.0
4,500.0,750.0,800.0,1000.0,1000.0,1000.0,1000.0,1000.0,2250.0,2900.01,2900.01,10000.2,10000.2,26138.45,36888.45,36888.45,39328.0,41045.0,44750.0,44750.0,44750.0,44750.0,50000.0,50000.0,57900.65,50000.0,50000.0,72374.36,77624.36,55000.01,55000.01,55000.01,79956.001,80000.10742356,79956.001,55000.01,79956.001,79956.001,79956.001,79956.001,77258.88,59258.911337,60000.031337,79957.031337,50130.031337,50130.0411,54827.92769802,53390.55588667,52319.15410977,53329.15410977,53880.0421,69471.08443161,69471.08443161,75779.8,73306.871,63306.893,69471.08643162,79957.04461604,96000.95423094,80000.09603642
5,400.0,550.0,550.0,800.0,800.0,800.0,800.0,800.0,1000.0,2250.0,2250.0,8000.0,8000.0,22500.0,33286.33,33336.33,36888.45,40005.0,36788.45,36788.45,36788.45,35535.0,44000.0,40000.0,50000.0,46918.92,50000.0,50000.0,51068.66,52863.60524842,52863.60524842,52863.60524842,63057.12246773,79956.001,55000.01,52863.60524842,55000.01,55000.01,55000.01,50129.6698,50129.6698,53000.0,53000.031337,53000.031337,50000.031337,50000.0411,53000.0411,53000.0411,50130.0421,53000.0421,53000.0421,61695.33888656,64870.91184081,69471.08443161,69471.08643161,62994.39811714,61999.933,69471.08643164,79957.04581604,79957.04672794
6,250.0,500.0,500.0,550.0,698.5,698.5,698.5,698.5,800.0,1000.0,1000.0,5500.0,7950.0,20654.35,20654.35,23173.0,33336.33,39000.0,36245.0,36235.0,36235.0,35000.0,40000.0,33035.0,40000.0,45592.95,49511.44,50000.0,50000.0,51132.271,51349.47098592,50000.0,55000.01,55000.01,52863.60524842,50000.0,52863.60524842,52863.60524842,50129.6698,50000.0,50000.0,50129.6698,50259.031337,50130.031337,50000.031337,50000.0411,50130.0411,50130.0411,50000.0411,50000.0411,50000.04110001,57005.82,63278.8,65305.812,68906.54579592,59911.51436845,59911.51436845,63999.93200002,69500.0,69471.08904354
7,150.0,500.0,500.0,500.0,550.0,550.0,550.0,550.0,698.5,800.0,800.0,2250.0,5900.0,16367.8,16667.79,20655.36,28150.0,36888.45,35000.0,35000.0,35000.0,33591.33,33035.0,32000.0,33035.0,40000.0,35591.42,49511.44,50000.0,50000.0,50000.0,50000.0,52863.60524842,52863.60524842,50000.0,50000.0,50000.0,50229.6698,50000.0,50000.0,50000.0,50000.0,50130.031337,50000.031337,47458.031337,47458.0411,50000.0411,50000.0411,50000.0411,50000.0411,50000.0411,53880.0421,53880.0421,53880.0421,61545.97521462,53880.0431,53880.0431,62000.0,69471.08843164,53880.04468192
8,150.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,550.0,698.5,698.5,1050.01,2250.0,10000.2,15000.0,19499.0,25000.0,33336.33,33591.33,33591.33,33591.33,33200.0,32000.0,31424.07,31424.07,40000.0,33035.0,35591.42,49511.44,49157.97,49157.97,50000.0,50000.01,50000.01,50000.0,48957.97,50000.0,50000.0,50000.0,45000.0,47457.46,50000.0,50000.031337,50000.031337,44512.031337,45640.0,50000.0411,50000.0411,47458.0411,47458.0411,47458.0411,53000.04210001,53000.04210001,53000.04210001,53880.0431,53000.04310002,53300.0,59670.12686312,53880.04400002,53000.04461194
9,150.0,350.04,350.04,400.0,500.0,500.0,500.0,500.0,500.0,550.0,550.0,1000.0,1050.01,8000.0,10000.2,18650.0,20962.28,31500.0,31000.0,31000.0,31000.0,31338.45,31424.07,31338.45,31338.45,33035.0,32714.84,35547.83,49157.97,42328.65,49047.74645612,50000.0,50000.0,50000.0,48957.97,42748.94,49729.6698,50000.0,44511.441,44511.441,45000.0,47457.46,50000.031337,47458.031337,40258.8795,44512.0411,47458.0411,47458.0411,44512.0411,44864.20534842,45587.09776949,50000.0411001,50000.0411001,50000.0411001,53000.04310001,51500.0,53000.04310002,54382.84862936,53000.04400004,50000.04291203
10,100.0,250.0,250.0,350.04,400.0,400.0,400.0,400.0,500.0,500.0,500.0,895.65,1000.0,6062.74,8200.0,16667.79,20673.0,28150.0,29000.0,29000.0,29000.0,31000.0,31338.45,31000.0,31000.0,31949.48,31424.07,33035.0,33374.8,40954.56541907,39655.0,50000.0,50000.0,50000.0,40000.0,40000.0,45748.94,44000.0,43000.0,40000.0,44511.441,45000.0,47458.031337,44512.031337,40000.031337,40000.0411,44512.0411,44512.0411,40000.31337,40000.31337,44864.20534842,49988.7,46595.27500386,49621.20825065,50000.0421001,50000.04210011,50000.04210011,53880.04310002,52500.0,44864.20635335
11,100.0,200.0,200.0,250.0,350.04,350.04,350.04,350.04,400.0,500.0,500.0,850.0,1000.0,5900.0,8000.0,15000.0,19499.0,19499.0,28150.0,28150.0,28150.0,30000.0,31000.0,30000.0,30000.0,31424.07,31338.45,32714.84,33035.0,38000.0,38000.0,50000.0,50000.0,50000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,44913.50856333,44914.031337,40258.8795,40000.031337,40000.0411,43001.9,40000.0411,40000.0411,40000.04115,43453.82823341,44864.20534942,44864.20534942,49272.15223593,47284.65537205,49111.6765,48889.96311286,53000.04310004,50000.04240013,41700.0
12,61.0,198.0,198.0,200.0,250.0,250.0,250.0,350.01,350.04,400.0,400.0,800.0,895.65,5350.0,6900.0,10672.08,16667.79,17084.0,24149.55,24149.55,25052.58,29990.0,30000.0,30000.0,29072.43,31338.45,31000.0,31424.07,31000.0,37251.25,37251.25,50000.0,50000.0,50000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,44511.441,44512.031337,40000.031337,40000.031337,40000.0411,40000.0411,40000.0411,40000.0411,40000.0411,40000.31337,40000.313371,41005.9,44864.20534942,44864.20534942,45754.003,48464.003,50000.04210013,44864.20554945,40969.57036392
