rank_,d2015_06_30,d2015_07_31,d2015_08_31,d2015_09_30,d2015_10_31,d2015_11_30,d2015_12_31,d2016_01_31,d2016_02_29,d2016_03_31,d2016_04_30,d2016_05_31,d2016_06_30,d2016_07_31,d2016_08_31,d2016_09_30,d2016_10_31,d2016_11_30,d2016_12_31,d2017_01_31,d2017_02_28,d2017_03_31,d2017_04_30,d2017_05_31,d2017_06_30,d2017_07_31,d2017_08_31,d2017_09_30,d2017_10_31,d2017_11_30,d2017_12_31,d2018_01_31,d2018_02_28,d2018_03_31,d2018_04_30,d2018_05_31,d2018_06_30,d2018_07_31,d2018_08_31,d2018_09_30,d2018_10_31,d2018_11_30,d2018_12_31,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
21,394999.85015315592,394999.85015315592,400439.99810877995,400439.99810877995,435999.999076,438822.80934746139,435999.999076,420011.82085847249,414512.07167100004,400439.99810877995,394899.85015315592,379999.99937000003,400439.99810877995,449999.992824575,455749.34703835269,457771.20458311489,466645.80853188544,459996.49527045793,523622.41031315853,524250.86162150267,529999.99602191,498402.031,487402.03099999996,466646.01953188545,529999.99602191,550000.02,530000.0,552124.15491552255,550000.02,550000.02,552124.15491552255,550000.02,529999.99602191,552124.15492552263,529999.99603191,540999.88511138258,558116.69679392059,552124.15492552263,558116.69679392059,558116.69679392059,558116.69679392059,493015.46048223431,470000.98534699995,463527.93466837151,450026.08678578911,450000.01966472546,450000.01966472546,474999.98950001,460000.29042963719,464999.98950001004,460000.29044115724,460000.29046545719,424398.78277970594,450000.01966472546,400001.227732,392368.111853172,431037.111853172,450000.02066572645,392829.77583716053,392829.77583716053,345000.31596543314,350002.990965,350002.990965,404999.79277980595,350002.990965,380899.79177980596,350002.990965,350003.663247,330389.03911531222,418060.62354718521,398652.40499999997,362868.23232189746,424559.3576694919,399999.43419381138,408864.40792320133,325000.48001707025,350014.73376547225
22,379999.99937000003,379999.99937000003,399999.99895,399999.99895,416666.071671,435999.999076,434946.444896219,416666.071671,400439.99810877995,394899.85015315592,392999.994939,377999.998992,379999.99937000003,449996.62498045794,449999.992824575,449999.992824575,459996.50527045794,449999.992824575,509863.23351813434,466645.80853188544,500000.05452650611,486826.84709315858,466646.00953188544,455230.01577393,500000.09647394595,529999.99602191,529999.99602191,550000.98312798131,549879.07573983,529999.99602191,550000.02,529999.99602191,515204.44186098676,529999.99603191,493015.46048223431,529999.99603191,552124.15492552263,549999.985347,552124.15492552263,552124.15492552263,552124.15492552263,491320.38550295355,450000.05001000781,450026.04669903603,450000.01966472546,430176.0313797525,399999.98950001,472524.20056762715,450000.01966472546,460000.29042963719,450000.01966472546,450000.01966472546,402526.20056762715,407527.20056762715,389059.728040432,386313.56140609895,400001.22873300104,400001.22873300104,346593.98570958077,346593.98570958077,324999.99936407019,345000.32801234338,333330.68146913243,404670.41117316415,345322.19820890413,350002.990965,333344.87698984897,333344.92483262892,325000.48001707025,361152.79156762967,338570.45689733542,345566.32223297219,399083.09549274435,397733.09549274441,399999.43419381138,311983.65638977929,342030.63798435312
23,377999.998992,377999.998992,394999.85015315592,394999.85015315592,400439.99810877995,429853.27189075,429853.27189075,406838.05533380667,400010.82085847249,386838.05533380667,379999.99937000003,376838.05533380661,377999.998992,445439.44557460904,445439.44557460904,438822.80934746139,449999.992824575,443769.17602332722,466645.80853188544,465000.0,467789.30970053264,475832.05996988149,459995.48527045792,455000.0,466647.02953288541,500000.096773946,500000.096773946,550000.02,543024.76440062711,500000.096773946,529999.99602191,515204.44186098676,470999.88410138257,466648.14746288542,483000.093637,493015.46048223431,529999.99603201,529999.99603201,529999.99603201,529999.99603201,549774.06076857436,483000.093637,450000.02001000004,450000.02001000004,400000.31093872688,400000.31093872688,375432.76352082583,460000.31093872682,422524.20056762709,450000.01966472546,422526.20056762715,442526.20056762715,399999.997732,399999.997732,384856.878944213,383782.464963574,390632.970482788,392829.77583716053,345000.26146053319,345000.26146053319,312096.86540665413,324999.99936407019,325000.00576407026,353913.64549787127,333333.789145192,333344.83353721461,330384.49551109306,331899.79177980596,321702.48952718521,333517.34612662892,333517.38524227322,329793.10285903746,325001.91354528,369963.88235320133,393868.41278314439,306276.62236139993,325000.91359527997
24,346837.19383714662,346837.19383714662,379999.99937000003,379999.99937000003,399999.99895,416666.071671,416666.071671,400439.99810877995,394899.85015315592,379999.99937000003,377999.998992,353332.5,376838.05533380661,438822.80934746139,438822.80934746139,435999.999076,438822.80934746139,440262.75299092446,459995.48527045792,459995.48527045792,466645.80953188543,466646.00953188544,449999.992824575,450000.05,458488.06166606949,485760.05944299,481590.25647106,529999.99602191,529999.99602191,466648.14646288543,500000.096773946,470999.95086138259,466648.14746288542,450000.05001,466648.14746288542,483000.093637,493015.46048223431,493015.46048223431,504999.98534699995,504999.98534699995,529999.99603201,470000.98534699995,422954.01133136381,400000.31085197377,395432.76252082584,399999.99979000003,368023.14815,450000.01966472546,410000.23264553223,427526.20056762709,414999.98950001004,433978.36640814907,390552.5649119,390552.5649119,360167.38016112969,377176.21203140717,387625.83404601278,372535.267276104,330000.76719600003,330000.76719600003,306276.2723613999,306276.2723613999,323203.54912692477,350002.990965,325000.42901707027,325000.48001707025,325000.48001707025,325000.48001707025,307474.25895227503,325000.48001707025,325000.48001707025,325001.91354528,325000.48001707025,351241.11148462712,348096.02005367924,297560.96347847523,325000.48001707025
25,329999.98748633731,329999.98748633731,377999.998992,377999.998992,394899.85015315592,400439.99810877995,400439.99810877995,399999.99895,386838.05533380667,377999.998992,376838.05533380661,344907.73799008946,353332.5,435999.999076,435999.999076,402898.01943050267,435999.999076,438833.35444000794,449999.992824575,449999.992824575,459995.48527045792,461375.88880686264,438822.80934746139,449999.992824575,455230.01577393,466648.05953288544,466648.05953288544,500000.096773946,500000.096773946,455230.01577393,473024.76440062711,466648.14746288542,456571.695512,450000.02001000004,450000.05001000781,466648.14746288542,483000.093637,483000.093637,493015.46048223431,493015.46048223431,504999.98534699995,450000.05001000781,395432.76252082584,395432.76252082584,369023.14815,399999.9895,350342.09901163826,375432.76352082583,375432.76352082583,423154.94228438538,390552.5649119,390552.5649119,388432.74214927404,385904.124996373,350000.22476501315,371767.81299999997,371767.81399999995,371767.81399999995,326591.99128482526,324999.99936407019,305594.08451695071,305594.08451695071,306276.62236139993,333331.75242549577,306276.62236139993,306276.62236139993,309369.96721983136,313566.99890908285,306276.62236139993,318624.26441323385,306276.62236139993,325000.48001707025,310555.54122404475,325001.91359527997,325001.91359527997,294096.07509895822,306276.63536139991
26,314807.79697100003,314807.79697100003,346837.19383714662,346837.19383714662,379999.99937000003,399999.99895,399999.99895,394899.85015315592,379999.99937000003,349997.88337998005,349997.88337998005,323999.994939,353236.41210523329,434946.444896219,434946.444896219,400001.0,415001.0,438822.80934746139,438822.80934746139,438822.80934746139,449999.992824575,459995.48527045792,435999.999076,445416.00301315857,455000.0,455230.01577393,455230.01577393,466648.12446288537,466648.12546288542,450000.05,466648.14746288542,453024.76440062711,450000.05,449999.992844575,450000.02001000004,450000.05001000781,466648.14746288542,466648.14746288542,483000.093637,483000.093637,493015.46048223431,450000.02001000004,394485.03408405214,374814.51620279945,357278.83353536745,395432.76252082584,350000.13965789462,368023.14815,373333.06081560941,375432.76352082583,350000.14992589562,384579.784226023,386895.37881868304,370748.530229342,348583.47587360826,350000.25536501314,346593.98570958077,355831.65947014,324999.99936407019,321767.814,300001.983578,302642.40598645562,300001.02,325000.32760707021,300001.02,300001.02,306276.62236139993,309576.5498457994,305899.79177980596,306276.62236139993,275000.02742,316666.59721164539,306276.62236139993,325000.48001707025,325000.48001707025,275000.02742,275000.02742
27,309999.99449514,309999.99449514,329999.98748633731,329999.98748633731,377999.998992,394899.85015315592,394899.85015315592,379999.99937000003,377999.998992,346837.19383714662,346837.19383714662,314807.79697100003,345207.77920769947,400439.99810877995,400001.0,384763.42906091432,415001.0,435999.999076,435999.999076,435999.999076,438822.80934746139,449999.992824575,424388.7494791444,441018.80446015613,450000.05,455000.0,450000.05,455230.01577393,455230.01577393,449999.992824575,450000.05,450000.05,449999.992824575,440000.09363699995,449999.992844575,450000.02001000004,450000.05001000781,450000.05001000781,466648.15746288543,450000.05001000781,483000.093637,449999.992844575,370524.26441062713,369999.994704175,350000.13517498592,368023.14815,343392.97520815465,350000.1396578956,369999.7639119,370140.088214594,343392.97520815465,364999.98950001,382099.99605201,350000.17572742113,346328.90212958073,346593.98570958077,345000.25806601316,346593.98570958077,321767.814,321081.35461223708,300001.02,300001.02,300001.00007,306276.62236139993,280000.92294776335,297334.54225636151,302772.77553584921,306276.62236139993,287830.677261031,287999.79177980596,272899.79177980596,306276.62236139993,283973.69469824742,306276.62236139993,306276.62236139993,254248.45391694,262741.11148462712
28,299999.998960599,299999.998960599,323203.434896219,323203.434896219,349496.84354801237,379999.99937000003,379999.99937000003,377999.998992,349997.88337998005,333886.25651978131,320931.67167099996,299999.998960599,344907.73799008952,389049.02678237733,400000.004137971,379999.99937000003,379999.99937000003,429239.90842020244,415001.0,415001.0,435999.999076,446958.224906363,420885.67671467265,439995.48527045792,449999.992824575,454384.40071281331,449999.992824575,450000.05,450000.05,443024.76440062717,449999.992824575,449999.992824575,435999.999076,435999.999086,435999.999086,449999.992844575,450000.02001000004,450000.02001000004,450000.05001000781,450000.02001000004,450000.05001000781,445056.07695335662,369999.99284457497,369023.14815,345738.06714465696,350756.22085747519,340738.067144657,345140.72073711175,350000.13992589567,369999.7639119,341504.04069317511,350000.15571742115,364999.99050000997,349175.8,335453.52009615576,335463.52009615581,341386.517785795,345000.26146053319,306276.2723613999,307681.76509062207,300001.00007,300001.00007,280365.88453713671,300001.02,274999.99949831993,281542.047844299,300001.02,299181.86383513204,275000.0,275000.02742,269027.38920368382,275000.02742,275000.02742,302041.97655927984,275000.02742,253271.05285212517,254248.45391694
29,299999.7455676985,299999.7455676985,323203.33392065,323203.33392065,346837.19383714662,377999.998992,377999.998992,349997.88337998005,346837.19383714662,320931.67167099996,316958.28418684448,299997.88337998,332701.21413164248,386894.08247038885,395480.6605236436,377999.998992,377999.998992,418167.54061315855,415001.0,414239.90842020238,424835.16387016396,438822.80934746139,415231.9040501,438822.80934746139,445436.41436321149,450000.05,445761.6861628202,449999.992824575,449999.992824575,435999.999076,435999.999076,435999.999076,430592.11425873835,403024.76441062713,414661.47880370135,435999.999086,449999.992844575,449999.992844575,450000.02001000004,449999.992844575,450000.02001000004,395432.76252082584,369023.14815,356274.83618000289,324999.99936407019,350000.13671155262,332524.20056762709,343392.97520815465,345888.50632449135,350000.13992589567,336138.82022934203,343392.97520815465,350000.15572742111,348464.51884983643,334438.05076158477,331361.83887084934,335463.52009615581,335724.79518925567,303587.5877291311,306276.2723613999,280000.92294776335,280000.92294776335,280000.92294776335,300001.00007,254379.04137377726,280000.92294776335,286834.54225636151,294282.8312681173,272846.46639677539,254248.45391694,254460.2029902573,270465.203410589,261699.79177980594,275000.02742,255499.79177980594,250000.01704597133,250000.01704597133
30,266619.77260032052,266619.77260032052,314807.79697100003,314807.79697100003,329999.98748633731,346837.19383714662,346837.19383714662,346837.19383714662,318298.93638148863,314807.79697100003,314807.79697100003,294899.85015315592,327219.0874208099,386067.39381288178,379999.99937000003,376838.05533380661,376838.05533380661,415001.0,414239.90842020238,402050.56795754487,402049.56675754493,435999.999076,389330.88717695407,435999.999076,441018.80446015613,449999.992824575,441018.80446015613,444935.09188971604,438496.34041502356,428651.72768051858,417763.43663806771,434989.94965651969,420000.093627,387038.71354603505,406165.81430999876,414661.47880370135,435999.999086,435999.999086,449999.992844575,435999.999086,449999.992844575,369023.14815,356400.9460961782,350000.13507488492,319499.97520815465,340738.067144657,324999.99936407019,335738.067144657,343392.97520815465,343392.97520815465,335432.76352082583,338026.82022934203,349175.8,343392.97520815465,324999.99936407019,324999.99936407019,331631.21684761107,330000.76719600003,300001.02,300001.02,274999.99949831993,274999.99949831993,274999.99949831993,280000.92294776335,254248.45391694,274999.99949831993,280000.92294776335,275000.0,261154.13524223535,250000.01704597133,254248.45391694,262799.79177980596,254248.45391694,259060.51428351083,254248.45391694,248499.79177980594,236821.13556899998
31,259999.84807592293,259999.84807592293,309999.99449514,309999.99449514,323203.434896219,329999.98748633731,329999.98748633731,329999.98748633731,314807.79697100003,309999.99449514,313357.21590306971,294288.930864848,323999.994939,379999.99937000003,377999.998992,350001.00000000006,369698.23290311487,415001.0,383840.0453338066,394899.85015315592,394899.85015315592,389330.88717695407,379999.99937000003,435991.03388668178,435999.999076,442633.782416086,435999.999076,441018.80446015613,435999.999076,426000.95085138257,412185.48071587051,420000.09677394596,403024.76440062717,379999.99938,403024.76441062713,383181.85555368726,380000.04115819,396426.67506899906,435999.999086,427828.13566666667,435999.999086,364914.26506962057,355000.13407488493,345738.06714465696,306276.2723613999,324999.99936407019,321496.13309618644,324999.99936407019,335738.067144657,341269.91232579574,330738.06714465696,336428.77812133206,347930.820229342,335453.52009615576,314999.99050000997,314999.99050000997,330000.76719600003,326530.04936518456,300001.00007,300001.00007,274039.77317105507,257529.36621070866,269594.11081397074,274999.99949831993,250001.98357799998,254248.45391694,274999.99949831993,256695.514341313,254248.45391694,249762.24096914942,250000.01704597133,254248.45391694,250000.01704597133,255499.79177980594,250000.01704597133,229471.4666242236,236499.79177980596
32,254907.99012735349,254907.99012735349,299999.998960599,301203.27189075,323203.33392065,323203.434896219,317578.70556769852,327799.99852863996,309999.99449514,304699.49719172018,309999.99449514,280931.671671,314807.79697100003,377999.998992,376838.05533380661,332701.21413164248,356091.17249998439,383840.0453338066,379999.99937000003,379999.99937000003,379999.99937000003,379999.99937000003,377999.998992,433464.10448030324,433464.10448030324,441018.80446015613,421330.88717695407,440031.15178591886,434094.98131639865,404997.82806545793,379999.99937000003,397884.72122024134,391716.36517717759,377999.99900199997,388110.33929505362,380000.04115819,379564.95015114854,380000.04115819,380000.04115819,395432.76252082584,427828.13566666667,355000.04489888489,350001.48797963042,325000.00001,299899.994704175,319499.97520815465,310009.99427288,313491.55656390387,324999.99936407019,330738.06714465696,324999.99936407019,335432.76352082583,343392.97520815465,335034.78852192964,306276.2723613999,306276.2723613999,324999.99936407019,324999.99936407019,280000.92294776335,280000.92294776335,273712.27942602831,254248.45391694,254248.45391694,255219.10209460082,250000.01704597133,250000.01704597133,254248.45391694,254248.45391694,250003.663247,248576.46536034683,247042.89062650508,250000.01704597133,236941.93943193744,254248.45391694,226082.46634235309,224199.78144828649,232466.49434544807
33,250000.0,250000.0,266619.77260032052,299999.998960599,321681.57354190905,314807.79697100003,314807.79697100003,314807.79697100003,302838.46600306971,300755.96600306971,299999.998960599,273010.39518856921,299999.998960599,376838.05533380661,350001.00000000006,327219.0874208099,332801.20035213244,379999.99937000003,377999.998992,377999.998992,377999.998992,377999.998992,370350.66468050145,432928.914963494,427351.65759296261,435999.999076,404997.72806545795,436727.48698717204,431272.35141270474,391203.36061704188,377999.998992,379999.99937000003,379999.99937000003,369023.14804999996,380000.04115819,378000.03372871369,378000.03372871369,378000.03372871369,378000.03372871369,380000.04115819,395432.76252082584,350001.48797963042,345738.06714465696,319499.97520815465,292524.26441062713,306276.2723613999,306276.2723613999,306276.2723613999,324221.50396319968,324999.99936407019,310856.80271579296,330738.06714465696,336320.05593355978,324999.99936407019,303312.975590744,300001.02,314999.99051334331,306276.2723613999,277684.00313154,274999.99949831993,271767.814,250001.98357799998,251718.87768081916,254248.45391694,243871.34012707302,248827.37782258511,251274.46700975814,250000.01704597133,250000.01704597133,225151.49561646857,225000.0,248681.43467554543,228388.9048367505,250000.01704597133,224933.8253823657,215368.75561612,225850.20919500789
34,236397.78457144927,236397.78457144927,259999.84807592293,266619.77260032052,314807.79697100003,309999.99449514,309999.99449514,309999.99449514,299999.998960599,299999.998960599,273757.68400405097,250057.04937971995,294899.85015315592,363882.56761165161,332701.21413164248,323999.994939,327319.07359190844,377999.998992,360088.5621405014,371839.04533380666,375231.9640501,371839.04533380666,370239.0453338066,421330.88717695407,424997.62106545793,433464.10448030324,404769.86494259106,435999.999076,421330.78717695404,379999.99937000003,374999.82816545793,377999.998992,377999.998992,364999.84030690807,378000.03372871369,369023.14804999996,369023.14804999996,369023.14804999996,369023.14804999996,378000.03372871369,380000.04115819,345738.06714465696,345095.58491029241,306276.2723613999,274999.99949821993,299899.994704175,299899.994704175,299999.99958,306276.2723613999,306276.2723613999,306276.2723613999,324999.99936407019,335453.52009615576,318899.99605201,300001.02,300001.00007,306276.2723613999,302022.36081820889,276787.21285529441,274835.90213381,271654.99676725,250000.01704597133,250001.98357799998,250001.98357799998,234376.99723778962,237146.87895861635,250000.01704597133,248628.47195330152,240000.01,215669.90835081378,219995.90227319358,219345.852952522,221432.42433236903,231849.48217717052,215368.75561612,215001.0,220000.99999999997
35,232968.39058654936,232968.39058654936,250000.0,259999.84807592293,309999.99449514,299999.998960599,299999.998960599,299999.998960599,282674.65826148313,260495.6497574283,260461.64975742827,250000.0,287057.04937971995,332701.21413164248,327219.0874208099,314807.79697100003,323999.994939,332801.20035213244,360000.98112798133,360088.5621405014,371839.04533380666,370350.66468050145,332801.20035213244,414022.881,421330.88717695407,424774.18146714242,379999.99937000003,421330.88717695407,404997.82806545793,377999.998992,369023.141,374999.82928690792,369023.14804999996,358239.067144657,373527.35352773051,364999.84030691575,364999.84030691575,368168.46841562178,365832.14917591744,369023.14804999996,369023.14815,325000.00001,325000.00001,282125.63603100018,254248.45391694,292524.20056762715,294329.543,294329.543,300000.0061831901,304332.47077834205,294329.543,317707.40360789996,324999.99936407019,317707.40360789996,300001.00007,282769.20549402392,300001.02,300001.02,274999.99949831993,273712.27942602831,271104.6690120757,237387.69723778963,250000.01704597133,250000.01704597133,222892.53120765561,229106.79723778961,244200.326194766,240000.92294776338,236781.23114062563,215368.75560181998,215368.75560181998,215368.75560181998,215368.75561612,225143.21272556286,215001.0,212103.16222951244,219271.58763669344
36,229746.03571544238,229746.03571544238,236397.78457144927,250000.0,299999.998960599,289738.71752403933,289599.71752403933,273877.83562174469,264000.156811006,250057.04937971995,250057.04937971995,246837.1959335827,280931.671671,327219.0874208099,323999.994939,309999.97759541945,314807.79697100003,330088.56214050145,332801.20035213244,360000.98112798133,367578.65106050146,332801.20035213244,327319.07359190844,382427.12600904267,415404.29758563527,421330.88717695407,377999.998992,404997.72806545795,379999.99937000003,369023.141,365239.0453338066,369023.14105,364999.83929690806,350001.48797962267,369023.14804999996,358239.067144657,363024.76441062713,364999.84030691575,364999.84030691575,365711.35480392567,365000.04476370482,319499.97520815465,319499.97520815465,275000.00001001556,250000.00001,274999.99949821993,286249.54942479258,280750.26715195976,294329.543,294329.543,284407.85190828424,306276.2723613999,322460.36931890814,314999.99050000997,280000.92294766335,282538.140632122,300001.00007,300001.00007,273712.27942602831,271104.6690120757,260487.21285529441,225910.97013973736,239483.27539080282,238777.29723778964,222034.48286999998,224487.23853928313,224487.23853928313,240000.01,228972.49891007631,203743.28144698651,207538.6404270714,210001.0,214841.7713362326,215923.59998902341,210436.44534733341,209290.52248840875,215368.75591044
37,210000.59642999998,210000.59642999998,234998.78766035373,236397.78457144927,299853.27189075,266619.77260032052,274999.99852864,273460.02850306971,263174.24866485666,250000.0,250000.0,239750.37880102266,279997.88337998,323999.994939,314807.79697100003,301231.571671,309999.97759541945,327319.07359190844,327319.07359190844,347321.672129455,360000.98112798133,327319.07359190844,316064.37545875093,379999.99937000003,389023.141,404997.70806545793,376023.141,379999.99937000003,377999.998992,365239.0453338066,350001.48796962271,358239.067144657,358239.067144657,325000.00001,364999.84030691575,353024.76441062713,358482.39992974466,363024.76441062713,355739.067144657,364999.84030691575,363632.03398338688,306276.27226139995,306276.2723613999,254248.45391694,242400.3406655986,263068.63285126153,274999.99949821993,274999.99949821993,274999.99949821993,274999.99949821993,281281.84091159987,305870.62762706581,317707.40360789996,310738.06714465696,274999.99949831993,280000.92294766335,280000.92294766335,280000.92294776335,272148.82982092403,270586.8587510442,254248.45391694,221767.814,236917.39723778961,235614.41629623857,218963.5572000001,222034.48286999998,222034.48286999998,234565.09886103435,224429.73813575984,201402.96781661414,205001.0,200003.663247,210001.0,215368.75561612,202278.66222951244,200840.24488399999,213340.41158386177
38,207999.91841958303,207999.91841958303,232968.39058654936,234998.78766035373,289738.71752403933,259999.84807592293,259999.84807592293,260400.17681100598,250000.0,240827.74829675048,240036.43545472444,232968.39058654936,268326.81983537879,314807.79697100003,309999.97759541945,294899.85015315592,305747.68521277094,326437.47386242525,326387.47386242531,332801.20035213244,344240.90842020238,323999.994939,314807.79697100003,377999.998992,379999.99937000003,389023.141,367739.0453338066,377999.998992,373023.141,350001.48796962271,321711.70359026548,350001.48796962271,350001.48796962271,320203.71220932616,358239.067144657,350001.48797963042,358239.067144657,358239.067144657,351157.76736390567,362543.84201922372,363008.89201689395,296488.03208405216,286052.99559,250000.00001,232838.44444189058,254248.45391694,263068.63285126153,264067.84222953924,270032.470778342,270001.4036079,279701.4036079,294329.543,310738.06714465696,306276.2723613999,269910.231081548,274999.99949831993,274999.99949831993,274999.99949831993,271104.6690120757,254248.45391694,250000.01704597133,214569.56192303693,236118.643434448,203570.30989632162,201738.06719675389,221695.8649704812,218974.2190274903,224487.23853928313,215368.75560181998,200003.663247,204933.0553485502,200000.10703597133,200918.25138682089,210001.0,200000.663247,200000.663247,200494.01535604487
39,206764.18206743238,206764.18206743238,230605.25328299883,232968.39058654936,266619.77260032052,250000.0,259827.89337998,259999.84807592293,233000.06138059436,233000.06138059436,232968.39058654936,229724.4218862167,260009.99915999998,309999.99449514,299999.998960599,280087.9933619,305489.01230500772,323999.994939,323999.994939,327319.07359190844,340890.14351646404,314807.79697100003,309999.97759541945,370350.66468050145,377999.998992,384752.92308128753,354750.03801606357,376023.141,365239.0453338066,321711.5047872655,314807.79697100003,314807.79697100003,314807.79697100003,314807.79698100005,350001.48797963042,325000.00001,350001.48797963042,350001.48797963042,350001.48797963042,355739.067144657,350001.48797963042,296052.99559,275000.00001001556,243676.48753781035,225077.67002468894,250000.00001,259892.72090856938,259330.47077834202,270001.4036079,254248.45391694,274999.99949821993,277500.791020752,306276.2723613999,300001.02,262472.49496043136,265615.54142051254,263049.76610058284,273026.2926499921,254248.45391694,250000.01704597133,246473.51212120402,211070.16812698162,207570.23014632161,201738.06719675389,200000.10703597133,218963.5572000001,218963.5572000001,215368.75560181998,200002.120378,200002.120378,200003.663247,199999.99746211086,200000.663247,203617.67222951245,200000.10703597133,200000.10703597133,200000.663247
40,206027.9746793205,206027.9746793205,227999.96401955697,230725.40012105269,259999.84807592293,236396.7845714493,250000.0,256738.1802901731,232968.39058654936,232968.39058654936,230000.06138059436,209999.99449513998,250000.0,299999.998960599,294899.85015315592,280000.98885644338,305041.46154833696,314807.79697100003,314807.79697100003,326387.47386242531,332801.20035213244,309999.97759541945,300000.05452650611,367739.0453338066,367739.0453338066,379999.99937000003,350001.48796962271,367239.0453338066,350001.48796962271,314807.79697100003,306276.27225139993,306276.27225139993,306276.27225139993,306276.27226139995,325000.00001,320061.95622539497,325000.00001,325000.00001,338024.26441062719,350001.48797963042,345738.06714465696,295524.26441062713,254248.45391694,242400.63066559861,224999.999916,246194.48388360077,254248.45391694,254248.45391694,254904.18403470371,252671.81352735872,254980.07830212018,274999.99949831993,300001.02,300001.00007,254248.45391694,254248.45391694,261341.56992974569,255444.38120145144,250000.01704597133,246473.51212120402,235887.69723778963,201738.06719675389,205296.05813965,200000.99069994,199999.99746211086,213641.08777121161,205000.0,208000.0,200001.0,200001.0,200000.10703597133,199580.321715139,200000.10703597133,200000.663247,199999.99746211086,199999.99746211086,200000.10703597133
41,203435.791453,203435.791453,221034.9932470512,215000.99957863998,255008.17968870551,234998.78766035373,236396.78357144928,250000.0,229543.81581081235,229724.08665672981,229627.00945040165,207385.3169030697,232968.39058654936,294899.85015315592,293231.61167099996,280000.49167842063,294899.85015315592,309999.97759541945,310764.69541120867,323999.994939,327319.07359190844,300000.05452650611,296125.85362742265,332801.20035213244,366005.281443436,377999.998992,348402.08228234778,350001.48796962271,325350.66468050145,306276.27225139993,270350.66468050145,269419.347960953,281379.77283689135,282613.50710247038,319499.97520815465,319499.97520815465,319499.97520815465,321474.5239479334,325000.00001,335871.96834066272,325000.00001,275000.00001001556,250000.00001,232897.08661279539,223196.40433601663,240402.10715643465,250000.00001,251712.92920953556,254248.45391694,250000.00704597132,254248.45391694,257283.71312127431,300001.0,274999.99949831993,250000.00704597132,250000.00704597132,254248.45391694,254248.45391694,246473.51212120402,243737.21285529443,225524.62416856378,200000.10703597133,201738.06719675389,200000.10703597133,199999.996577,210227.90386476513,200011.75,201606.45174434822,200000.997039,200000.997039,199999.99746211086,197570.95525471339,199999.99746211086,200000.10703597133,199580.321715139,199580.321715139,199580.321715139
42,199999.99958,199999.99958,215000.99957863998,211035.00324705121,250000.0,232968.39058654936,234998.78766035373,232968.39058654936,215000.99957863998,215000.99957863998,206158.960864848,200004.99957863998,230000.49167842069,291231.62167100003,280087.9933619,279997.88337998,283337.56167100003,294899.85015315592,309999.97759541945,314807.79697100003,323999.994939,285231.9240501,258557.60499315854,314807.79697100003,354240.22651388904,367739.0453338066,334384.40071281337,325350.66468050145,321711.5047872655,300350.66468050145,269419.347960953,262611.32015763532,267419.34796095296,281379.77284689131,314807.79698100005,306276.27226139995,306276.27226139995,319499.97520815465,319499.97520815465,325000.00001,319499.97520815465,254248.45391694,243199.49481632019,224999.999916,218676.43745335637,232979.34793005383,243932.71252507184,250000.00001,250000.00661319008,246614.40718428043,250000.00704597132,254248.45391694,299524.03388222022,269081.05825513974,243201.403341843,230893.82223778963,250000.00704597132,250000.01704597133,236243.99723778962,243093.99723778962,222515.21927550735,199999.99746211086,200000.10703597133,199999.99746211086,199999.994393,205000.0,200001.983578,200002.120378,200000.92294776335,200000.10703597133,199580.321715139,197318.21528266938,199580.321715139,199999.99746211086,198667.0903733763,197570.95525471339,197570.95525471339
43,199999.99936878,199999.99936878,210000.59642999998,210000.59642999998,236396.7845714493,230645.41742262445,232968.39058654936,229728.30504748915,206158.960864848,206158.960864848,203433.99957864,200000.99085847251,229690.67247531307,280000.49167842063,280000.98885644338,279201.13760315854,280087.9933619,285035.561671,294899.85015315592,309999.97759541945,314807.79697100003,280087.9933619,254248.45390694,310106.1739352562,350001.48796962271,354240.22651388904,325468.08549192775,323653.28515376314,314807.79697100003,276037.46437132382,263522.6588097323,254248.45390694,262257.8430576353,275000.00001,306276.27226139995,281379.77284689131,281379.77284689131,306276.27226139995,306276.27226139995,319499.97520815465,306276.27226139995,250000.00001,233065.45094923486,223196.40433601663,208651.820760911,227884.46030261015,243761.13891545025,248843.96910170978,235673.02170978449,238547.68747092949,232711.27274471091,250000.00704597132,294329.543,262384.98842374928,229376.34554661074,229085.36576184022,247929.117942534,230861.70866845787,227444.21626444312,226298.270486553,214570.16812698159,199999.996577,199999.99746211086,199999.996577,199580.321715139,200001.983578,200001.0,200001.0,200000.10703597133,200000.023997,197570.95525471339,197262.32663146063,197570.95525471339,199580.321715139,197800.0,197262.32663146063,196919.68973512595
